产品简称,return2012,成立日期,投资顾问,投资经理
重阳10期,16.70 ,2011/8/19,重阳投资,王晓华 裘国根 陈子木
金狮142号,16.64 ,2011/7/22,--,--
源乐晟2期,16.62 ,2010/1/28,源乐晟,曾晓洁
塔晶狮王,16.58 ,2007/9/3,塔晶投资,冷再清
塔晶狮王二号,16.28 ,2007/10/8,塔晶投资,冷再清
双赢11期(鼎锋),16.24 ,2011/8/4,鼎锋资产,张高
开宝2期,16.23 ,2010/6/1,开宝资产,叶猷建
投资精英之长青藤A,16.18 ,2011/1/30,长青藤资产,潘海峰
重阳8期,16.08 ,2011/7/1,重阳投资,裘国根 陈心
彤源2号,15.97 ,2009/10/30,彤源投资,任云鹤
宏石1号(2),15.88 ,2009/2/26,昶钰投资,张磊
泓湖6期,15.83 ,2010/11/9,泓湖投资,梁文涛
源乐晟4期,15.80 ,2010/4/29,源乐晟,曾晓洁
瑞华彤源卓越2期,15.73 ,2011/1/12,瑞华投资,张建斌
爱康1号(鼎锋11..,15.57 ,2011/1/14,鼎锋资产,张高 李霖君
泽熙5期,15.52 ,2010/7/30,泽熙投资,徐翔
国富精选五号,15.51 ,2010/8/4,国富投资,陈海峰
立华合伙1期,15.51 ,2008/9/26,立华投资,王政
恒复趋势1号,15.44 ,2009/1/20,恒复投资,刘强
混沌2号,15.29 ,2009/6/22,混沌投资,王歆
鼎锋5期,15.28 ,2011/2/12,鼎锋资产,李霖君
兴业玉麒麟1号,15.22 ,2011/1/20,兴业证券,李劲松 朱烈 杨定光
和聚8期,15.22 ,2011/9/23,北京和聚投资,李泽刚
创金灵活成长1期,15.20 ,2011/7/5,第一创业,曹春林 苏彦祝 李志锐 刘树祥
融裕13号利升3期,15.19 ,2011/8/10,利升锐华,黄国海
紫晶石稳优(T-5..,14.93 ,2011/7/28,朴道投资,胡卿瑞
重阳9期,14.91 ,2011/8/18,重阳投资,裘国根 陈子木
明华新兴成长,14.78 ,2011/2/15,明华信德,陈明贤
源乐晟5期,14.71 ,2010/7/30,源乐晟,曾晓洁
富锦10期(重阳),14.70 ,2011/8/4,重阳投资,裘国根
朴道一期,14.54 ,2011/3/16,朴道投资,胡卿瑞
投资精英之重阳A,14.53 ,2011/11/21,重阳投资,裘国根 陈子木
中行TOT成长组合..,14.50 ,2011/5/11,源乐晟,曾晓洁
泓湖1期,14.30 ,2007/2/16,泓湖投资,梁文涛
和聚9期,14.27 ,2011/7/1,北京和聚投资,李泽刚
福麟13号(泓湖3..,14.24 ,2010/6/30,泓湖投资,梁文涛
平石尊悦,14.18 ,2010/1/5,平石资产,尹志平
源乐晟3期(富锦2..,14.18 ,2010/5/28,源乐晟,曾晓洁
景富同1期,14.16 ,2010/6/23,景富同投资,王卫东
新嘉诚1期,14.12 ,2011/7/4,--,--
源乐晟9期,13.97 ,2010/11/5,源乐晟,曾晓洁
金融战士1号,13.97 ,2011/2/21,康成亨,张耀东
源乐晟3-1期,13.93 ,2011/9/29,源乐晟,曾晓洁
毅扬1期,13.89 ,2010/11/8,毅扬投资,梁丰 郭楷泽
泓湖2期,13.89 ,2009/11/24,泓湖投资,梁文涛
源乐晟10期,13.82 ,2011/2/22,源乐晟,曾晓洁
中域增值1期,13.72 ,2009/7/22,中域投资,袁鹏涛
长金4号,13.59 ,2009/6/23,长金投资,郑晓军
展博1期,13.51 ,2009/6/15,展博投资,陈锋
源乐晟7期,13.47 ,2010/10/8,源乐晟,曾晓洁
实力旗舰,13.46 ,2010/6/10,实力资产,陈理
新价值15期,13.46 ,2010/9/2,新价值,罗伟广
万丰友方避险增值1..,13.34 ,2009/6/17,万丰友方,陈益和 陈浩青
四海一号,13.33 ,2011/6/7,四海投资,--
国富投资专户3号,13.32 ,2011/10/18,国富投资,陈海峰
双赢5期(民森),13.32 ,2009/9/29,民森投资,蔡明
久铭一期,13.32 ,2009/2/24,久铭投资,王华
重阳3期,13.27 ,2009/9/2,重阳投资,裘国根 陈心
国富投资专户2号,13.27 ,2011/10/18,国富投资,陈海峰
源乐晟11期,13.24 ,2011/3/16,源乐晟,曾晓洁
重阳目标回报1期,13.24 ,2011/9/1,重阳投资,裘国根 陈子木
展博精选B号,13.22 ,2010/12/29,展博投资,陈锋
展博精选A号,13.21 ,2010/12/29,展博投资,陈锋
同威3期,12.95 ,2009/7/30,同威资产,李驰
格雷一期,12.92 ,2011/1/10,格雷投资,张可兴
恒丰1期,12.89 ,2010/6/10,银沙创投,陈军
证研1期,12.88 ,2009/7/3,证研投资,宋晓辉
景富同2期,12.85 ,2010/10/26,景富同投资,王卫东
实力稳进,12.79 ,2011/3/22,实力资产,陈理
格雷二期,12.70 ,2011/5/20,格雷投资,张可兴
和聚7期,12.58 ,2011/4/29,北京和聚投资,李泽刚
鼎泰岩1期,12.53 ,2011/11/18,鼎泰岩投资,陈晓东
明华一期,12.50 ,2010/4/20,明华信德,陈明贤
富锦6号(金中和),12.47 ,2010/8/30,金中和投资,曾军 何滨
和聚4期,12.47 ,2010/4/14,北京和聚投资,李泽刚
投资精英之展博A,12.42 ,2011/9/28,展博投资,陈锋
民森F号,12.41 ,2009/8/17,民森投资,蔡明
鼎诺秋实1期,12.33 ,2009/12/7,鼎诺投资,黄弢
乐晟精选,12.30 ,2008/7/8,源乐晟,曾晓洁
得利宝重阳5期,12.25 ,2009/12/11,重阳投资,裘国根 陈心
和聚2期,12.14 ,2010/3/18,北京和聚投资,李泽刚
民森E号,12.12 ,2009/7/23,民森投资,蔡明
泓湖5期,12.06 ,2010/12/31,泓湖投资,梁文涛
民森G号,12.03 ,2009/8/17,民森投资,蔡明
菁英时代成长2号,12.02 ,2010/5/28,菁英时代,陈宏超
鼎诺风险缓冲1期,12.02 ,2011/6/13,鼎诺投资,黄弢
万丰友方避险增值2..,12.01 ,2009/6/17,万丰友方,陈益和 陈浩青
恒德1期,12.01 ,2010/7/21,恒德投资,王瑜
和聚1期,11.97 ,2009/7/14,北京和聚投资,李泽刚
金狮199号,11.86 ,2011/5/20,--,--
和聚5期,11.81 ,2010/5/28,北京和聚投资,李泽刚
昭时二期,11.78 ,2011/12/25,昭时投资,李云峰
高信百诺1期,11.63 ,2010/11/25,高信百诺,孙威
鼎锋12期,11.50 ,2010/12/21,鼎锋资产,李霖君
和聚3期,11.46 ,2010/4/20,北京和聚投资,李泽刚
升阳1期,11.16 ,2010/8/19,升阳资产,--
民森H号,11.14 ,2009/12/18,民森投资,蔡明
lighthors..,11.06 ,2006/10/9,天马资产,康晓阳
聚益1号,11.05 ,2009/9/28,聚益投资,汤小生
融新254号展博3..,10.87 ,2011/4/27,展博投资,宋向宇
金狮184号,10.84 ,2011/5/20,--,--
新思哲1期,10.41 ,2010/4/21,新思哲,韩广斌
东方港湾1期,10.39 ,2010/12/31,东方港湾,但斌
双赢13期(鸿道),10.27 ,2011/6/10,鸿道投资,孙建冬
执耳医药,10.21 ,2010/9/28,执耳投资,朱爱国
同威增值2期,10.19 ,2009/9/3,同威资产,--
重阳7期,10.13 ,2011/5/26,重阳投资,裘国根 陈心
重阳精选B号,10.10 ,2011/5/20,重阳投资,裘国根 陈心
景林丰收,10.08 ,2007/3/30,景林资产,蒋锦志
红山1期,9.91 ,2007/9/6,红山投资,李雅非
毅扬2期,9.89 ,2011/9/30,毅扬投资,梁丰 李志嘉
汇信华安1号,9.89 ,2011/11/30,华安基金,--
天马一期,9.84 ,2011/11/21,天马时代,马列
通用汇锦1号,9.74 ,2010/5/6,通用投资,鲍晓冰
世诚扬子2号,9.69 ,2008/4/18,世诚投资,陈家琳
游消费板块(上信-..,9.47 ,2010/3/9,国泰基金,--
展博2期,9.38 ,2010/8/4,展博投资,陈锋 余爱斌
同威增值3期,9.34 ,2009/9/18,同威资产,李驰
积胜1期,9.32 ,2009/12/31,积吉胜,张仁才
升阳2期,9.24 ,2010/9/17,升阳资产,--
慧安5号,9.22 ,2010/6/3,慧安投资,沈一慧
合德丰泰,9.13 ,2008/3/15,合德丰泰,王宇
金中和1期,9.08 ,2008/11/3,金中和投资,刘国平
金中和4期,8.92 ,2009/6/3,金中和投资,刘国平
中国龙进取,8.90 ,2004/6/15,涌峰投资,李莉芳
从容成长1期,8.70 ,2009/4/8,从容投资,吕俊
升阳5期,8.66 ,2011/12/28,升阳资产,--
双赢10期(淡水泉..,8.64 ,2011/4/28,淡水泉,赵军
谦石1号,8.54 ,2010/10/15,谦石投资,李追阳
中国龙价值六,8.50 ,2007/12/4,涌峰投资,马宏
宝晟,8.49 ,2011/9/20,--,--
海洋之星1号,8.48 ,2007/9/30,东方证券,周博胜
金狮102号,8.44 ,2011/10/14,--,--
金狮182号,8.35 ,2011/5/20,--,--
向日葵1号,8.26 ,2008/4/22,向日葵,陈靖吾
中国龙价值五,8.20 ,2007/11/22,涌峰投资,马宏
否极泰,8.18 ,2010/6/1,否极泰,董宝珍
聚发(11)混沌1..,8.10 ,2010/3/16,混沌投资,王歆
量化成长1期,8.08 ,2011/3/18,瀚鑫泰安,--
安苏1号,8.03 ,2009/4/20,安苏投资,--
鸿道4期,8.01 ,2011/6/21,鸿道投资,孙建冬
枫岭1期,7.88 ,2009/5/19,枫岭投资,程杰
国投飞天2号,7.87 ,2009/6/24,国投信托,--
平安价值投资一期,7.80 ,2006/6/12,惠理基金,谢清海
惠理价值一期,7.80 ,2011/5/16,惠理基金,谢清海
惠理价值二期,7.80 ,2011/8/11,惠理基金,谢清海
从容成长2期,7.78 ,2009/6/18,从容投资,吕俊
精熙,7.76 ,2009/2/27,精熙投资,夏宁
康成亨1期,7.71 ,2009/5/22,康成亨,张耀东
中国龙价值二,7.68 ,2007/7/17,涌峰投资,马宏
麦星,7.66 ,2009/2/20,麦星投资,--
武当5期,7.64 ,2009/3/10,武当资产,田荣华
中国龙价值八,7.63 ,2008/3/25,涌峰投资,马宏
世诚扬子3号,7.62 ,2010/12/30,世诚投资,陈家琳
鑫鹏1期,7.62 ,2007/12/20,金辉投资,阮杰
中国龙价值七,7.57 ,2008/3/25,涌峰投资,马宏
银叶1号,7.57 ,2009/4/30,银叶投资,--
慧安9号,7.55 ,2011/9/28,慧安投资,沈一慧
从容成长3期,7.55 ,2009/6/12,从容投资,吕俊
金中和2期,7.50 ,2009/3/18,金中和投资,--
睿策1期,7.50 ,2011/1/27,睿策投资,黄明
开宝1期,7.45 ,2007/11/19,开宝资产,叶猷建
中国龙价值,7.41 ,2007/5/31,涌峰投资,马宏
合赢,7.39 ,2007/10/9,盈峰资本,张冰 钱晓宇
从容优势二期,7.32 ,2008/4/18,从容投资,吕俊
名禹稳健增长,7.32 ,2010/9/26,名禹资产,王益聪
瑞华卓越,7.30 ,2010/4/9,瑞华投资,张建斌
从容优势一期,7.28 ,2008/4/8,从容投资,吕俊
量化投资一号,7.26 ,2011/3/11,--,--
达仁通宝2期,7.12 ,2011/4/27,达仁投资,刘翔
鑫安1期,7.05 ,2011/10/26,易鑫安,栾鑫
万丰友方稳健成长3..,6.95 ,2009/6/17,万丰友方,陈益和
朱雀14期,6.83 ,2010/1/5,朱雀投资,李华轮
融新74号(富恩德..,6.79 ,2010/11/15,富恩德,--
股贷双利1期,6.76 ,2010/1/20,--,--
武当12期,6.69 ,2009/6/10,武当资产,田荣华
中信华安,6.68 ,2011/11/4,华安基金,--
鸿道2期,6.61 ,2010/10/28,鸿道投资,孙建冬
朱雀19期,6.60 ,2011/4/21,朱雀投资,洪露 李华轮
民森D号,6.58 ,2009/12/20,民森投资,蔡明
财富(绿宝石),6.56 ,2011/6/16,格林施通,余军
禾木1号,6.51 ,2011/9/26,禾木资产,--
武当14期,6.49 ,2009/11/17,武当资产,田荣华
乾阳投资1期,6.48 ,2011/10/17,乾阳投资,何辉
泽熙4期,6.42 ,2010/7/7,泽熙投资,徐翔
金狮141号,6.38 ,2011/7/22,--,--
中信证券贵宾1号,6.37 ,2010/9/28,中信证券,杨喆 张晓亮 胡继光
久富1期,6.34 ,2011/5/10,久富投资,姜任飞 杜运志
泽熙2期,6.31 ,2010/6/11,泽熙投资,徐翔
从容优势三期,6.31 ,2008/7/18,从容投资,吕俊
朱雀17期,6.25 ,2010/10/8,朱雀投资,时红
银沙策略精选,6.25 ,2010/2/5,银沙创投,陈军
万丰友方稳健成长2..,6.20 ,2009/1/16,万丰友方,陈益和
合赢2期,6.19 ,2010/6/4,盈峰资本,张冰 曾昭雄
朱雀10期,6.09 ,2009/11/12,朱雀投资,李华轮
汇富3号(远策),6.05 ,2010/7/21,远策投资,张益驰
民森A号,5.92 ,2007/6/25,民森投资,蔡明
佳和恒生,5.89 ,2011/5/23,佳和恒生,刘一锋
国泰基金定向,5.73 ,2011/5/3,国泰基金,--
淡水泉卓越1期,5.64 ,2011/1/6,淡水泉,项志群
长江超越理财量化1..,5.53 ,2011/11/9,长江证券,--
慧安2号,5.46 ,2009/7/17,慧安投资,沈一慧
远策2期,5.44 ,2009/9/29,远策投资,张益驰
中行TOT成长组合..,5.44 ,2011/5/11,武当资产,--
联合成长1号,5.43 ,2008/1/3,众禄投资,裴晓岩
金中和5期,5.37 ,2009/6/8,金中和投资,--
朱雀9期,5.32 ,2010/1/7,朱雀投资,李华轮
嘉实股票精选1号,5.31 ,2008/8/18,嘉实基金,--
万丰友方稳健成长1..,5.28 ,2009/6/17,万丰友方,陈益和
慧安10期,5.17 ,2011/2/18,慧安投资,沈一慧
麦盛领航3期,5.16 ,2010/12/31,麦盛资产,李向鸿
先锋1号,5.13 ,2007/12/17,钧锋投资,陈湘义 童殿琳
源乐晟策略创新1期,5.11 ,2011/9/30,源乐晟,曾晓洁
淡水泉目标回报第6..,5.05 ,2011/11/28,淡水泉,项志群
远策5期,5.00 ,2010/2/10,远策投资,张益驰
喜马拉雅1期,5.00 ,2009/11/20,喜马拉雅,吴刚
赢隆珠江(长安投资..,4.95 ,2011/7/21,赢隆投资,罗兴文
武当13期,4.94 ,2009/8/13,武当资产,田荣华
精英之从容A,4.90 ,2009/9/17,从容投资,吕俊
升阳3期,4.87 ,2010/11/24,升阳资产,--
慧安6号,4.82 ,2010/12/7,慧安投资,沈一慧
浙商金惠2号,4.80 ,2010/11/15,浙商证券资产,周良 王翊 耿广棋 刘俊
远策1期,4.79 ,2009/9/29,远策投资,张益驰
睿信4期,4.77 ,2007/7/3,睿信投资,李振宁
道睿择1期,4.76 ,2011/11/10,道睿择投资,杨金
新价值16号,4.74 ,2010/6/25,新价值,罗伟广
睿信3期,4.70 ,2007/6/15,睿信投资,李振宁
万利富达,4.70 ,2007/3/20,万利富达投资,胡伟涛
小海豚,4.69 ,2008/9/8,小海豚,徐栋
武当11期,4.67 ,2009/6/18,武当资产,田荣华
远策4期,4.65 ,2009/11/3,远策投资,张益驰
利升1期,4.58 ,2010/11/24,利升锐华,--
淡水泉成长六期,4.55 ,2009/7/29,淡水泉,赵军
融裕9号奕金安3期,4.55 ,2011/1/27,奕金安投资,靳奕
云程泰增值,4.54 ,2007/8/1,云程泰,魏上云
国投瑞僖稳健收益,4.54 ,2009/3/20,国投信托,张志辉
泽熙1号,4.53 ,2010/3/5,泽熙投资,徐翔
金中和6期,4.53 ,2009/8/20,金中和投资,曾军 王阳
云程泰增值二期,4.50 ,2008/4/9,云程泰,魏上云
新价值11号,4.50 ,2010/7/16,新价值,罗伟广
淡水泉成长五期,4.49 ,2009/8/5,淡水泉,赵军
武当3期,4.48 ,2008/6/6,武当资产,田荣华
慧安1号,4.41 ,2009/5/19,慧安投资,沈一慧
金百镕1期,4.41 ,2009/11/13,金百镕,周枫
慧安7号,4.40 ,2011/1/26,慧安投资,沈一慧
朱雀8期,4.37 ,2009/6/1,朱雀投资,陈秋冬
武当9号,4.35 ,2009/5/8,武当资产,田荣华
广金成长,4.35 ,2007/12/25,广金投资,刘壮华 梁月广
精熙成长精选,4.33 ,2011/8/1,精熙投资,夏宁
投资精英之智德A,4.30 ,2010/4/8,智德投资,伍军
得利宝至尊10号,4.29 ,2010/10/2,远策投资,张益驰
慧安3号,4.28 ,2009/8/20,慧安投资,沈一慧
飞天1号,4.27 ,2009/6/24,国投信托,--
朱雀20期,4.26 ,2011/3/17,朱雀投资,李华轮
淡水泉成长一期,4.24 ,2007/9/6,淡水泉,赵军
奕金安2期,4.22 ,2010/4/16,奕金安投资,靳奕
富承,4.20 ,2011/12/30,信利投资,--
菁英时代成长3号,4.19 ,2010/9/10,菁英时代,陈宏超
和禄1号,4.19 ,2009/6/10,理想投资,于水
添宝1号,4.18 ,2011/8/2,添宝资产,--
国淼一期,4.15 ,2009/1/23,国淼投资,马泽
中国优质1号,4.13 ,2008/1/8,鹏远咨询,--
华夏优选1号,4.12 ,2009/11/30,东方远见,许勇
淡水泉精选1期,4.08 ,2010/7/5,淡水泉,赵军
睿信2期,4.08 ,2007/6/15,睿信投资,李振宁
淡水泉成长三期,4.07 ,2009/5/27,淡水泉,赵军
恒达通汇1期,4.02 ,2009/8/26,恒达通汇,沈一民
远策6期,3.99 ,2010/1/18,远策投资,张益驰
中国机会三期,3.98 ,2008/1/16,淡水泉,赵军
民森C号,3.98 ,2008/8/20,民森投资,蔡明
睿信成长1期,3.97 ,2010/1/8,睿信投资,李振宁
玖逸一期,3.92 ,2011/4/7,玖逸投资,战军涛
金狮196号,3.92 ,2011/5/20,--,--
远策3期,3.88 ,2009/10/20,远策投资,张益驰
东方远见5期,3.87 ,2010/11/22,东方远见,许勇
联合星辰(新),3.87 ,2011/4/18,齐鲁证券,--
瑞达1号,3.86 ,2011/12/29,瑞达投资,--
武当8号,3.86 ,2009/4/30,武当资产,田荣华
投资精英之朱雀A,3.86 ,2009/10/10,朱雀投资,李华轮
仙童1期(海南成长..,3.83 ,2010/5/5,仙童投资,张晓君
民森B号,3.80 ,2007/6/25,民森投资,蔡明
精英之淡水泉A,3.77 ,2009/9/21,淡水泉,赵军
浙商金惠3号,3.77 ,2010/12/1,浙商证券资产,周良 陈旻
精英之武当A,3.76 ,2009/9/17,武当资产,田荣华
淡水泉成长七期,3.74 ,2009/7/31,淡水泉,赵军
远策9期,3.73 ,2011/2/1,远策投资,张益驰
智德1期,3.71 ,2011/3/15,智德投资,伍军
金狮193号,3.71 ,2011/5/20,--,--
武当7号,3.70 ,2009/4/22,武当资产,田荣华
东方远见6期,3.68 ,2010/9/13,东方远见,许勇
建信稳健增值2期,3.64 ,2010/11/10,从容投资,吕俊
淡水泉成长九期,3.63 ,2009/11/3,淡水泉,赵军
金中和西鼎,3.59 ,2007/7/27,金中和投资,曾军
淡水泉成长四期,3.57 ,2009/6/8,淡水泉,赵军
朱雀12期,3.56 ,2009/11/23,朱雀投资,王欢
盈融达8号,3.54 ,2011/1/28,盈融达,曹湘军
武当6期,3.54 ,2009/3/27,武当资产,田荣华
朱雀5期,3.53 ,2009/5/15,朱雀投资,梁跃军
化工量化双核心策略,3.49 ,2010/6/10,外贸信托,费鹏
恒丰2号,3.49 ,2011/3/23,银沙创投,--
中睿合银9期,3.47 ,2011/1/10,中睿合银,刘睿
东方远见1期,3.45 ,2010/5/5,东方远见,许勇
奕金安一期,3.43 ,2009/7/27,奕金安投资,靳奕
天马,3.26 ,2006/9/11,天马资产,康晓阳
光大集结号收益型三..,3.25 ,2011/6/3,光大证券资产,谢锋 王杭
瀚信经典1期,3.18 ,2010/6/24,瀚信资产,蒋国云 陈鹏 李君
睿信1期,3.18 ,2011/4/27,睿信投资,吴欣
淡水泉成长十期A,3.17 ,2010/2/26,淡水泉,赵军
朱雀4期,3.15 ,2009/4/15,朱雀投资,梁跃军
鸿道1期,3.09 ,2010/4/8,鸿道投资,孙建冬
稳健增长,3.09 ,2007/12/26,尊嘉资产,宋炳山
聚益5号,3.08 ,2010/11/3,聚益投资,汤小生
亿龙中国,3.07 ,2006/4/18,涌金投资,刘红海
双赢7期(星石),3.05 ,2009/9/29,星石投资,江晖
武当4期,3.04 ,2008/8/11,武当资产,田荣华
得利宝至尊13号,3.04 ,2010/12/22,从容投资,吕俊
武当目标回报第3期,2.98 ,2011/7/11,武当资产,田荣华
大成灵活配置2期,2.97 ,2008/2/5,大成基金,杨建华
智德持续增长,2.92 ,2008/6/20,智德投资,伍军
长江二期A,2.91 ,2009/12/4,涌金投资,刘红海
东方远见7期,2.91 ,2011/4/29,东方远见,许勇
双赢6期(涌金),2.86 ,2009/9/29,外贸信托,--
鼎锋6期,2.86 ,2010/9/20,鼎锋资产,李霖君
聚益金典1号,2.80 ,2011/6/1,聚益投资,汤小生
明曜1期,2.76 ,2010/4/2,明曜投资,曾昭雄
建信稳健增值1期,2.72 ,2010/11/10,星石投资,江晖
远策8期,2.71 ,2010/11/22,远策投资,张益驰
弘酬精选1期,2.70 ,2011/5/13,智德投资,伍军
武当稳健增长,2.66 ,2010/11/16,武当资产,田荣华
淡水泉2008,2.63 ,2008/2/5,淡水泉,赵军
鸿道精英1号,2.62 ,2010/8/9,鸿道投资,--
鸿道3期,2.56 ,2010/11/3,鸿道投资,孙建冬
六禾财富东莞,2.55 ,2010/12/22,六禾投资,夏晓辉 赵立坚 王志强
积极策略尊享2号,2.54 ,2009/9/29,华夏基金,--
浙商金惠海宁钱潮,2.47 ,2011/3/3,浙商证券资产,周良 耿广棋 刘俊
朱雀18期,2.44 ,2010/9/30,朱雀投资,李华轮
麦尔斯通二期,2.44 ,2009/4/29,麦尔斯通,黄伟声
得利宝至尊12号,2.43 ,2010/11/3,星石投资,江晖
瑞象Alpha,2.41 ,2009/4/30,瑞象投资,陈军
非凡理财1号,2.41 ,2010/10/25,星石投资,--
智信创富1期,2.40 ,2011/3/15,智信创富,高锦洪
智德精选3期,2.38 ,2010/5/13,智德投资,伍军
归富长乐1号,2.35 ,2010/8/31,归富投资,张关心
金诚一号,2.35 ,2011/9/26,--,--
长金2号,2.34 ,2008/12/26,长金投资,郑晓军
星石9期,2.30 ,2009/3/4,星石投资,江晖
博颐精选,2.27 ,2008/2/5,博颐投资,徐大成
丰瑞世纪2期,2.25 ,2010/3/31,丰瑞世纪,--
牡丹石1期,2.25 ,2011/8/16,--,--
光大集结号收益型二..,2.24 ,2010/10/22,光大证券资产,--
博颐精选3期,2.14 ,2009/7/9,博颐投资,徐大成
大成基金灵活配置,2.12 ,2007/12/10,大成基金,杨建华
国泰君安君享富利,2.09 ,2010/10/27,国泰君安资产,唐洁 张骏 顾颉 徐志敏
星石17期,2.08 ,2009/12/3,星石投资,江晖
招商智远稳健4号,2.06 ,2010/12/24,招商证券,曾琦
星石21期,2.05 ,2011/6/20,星石投资,江晖
弘酬3期,2.02 ,2009/11/10,弘酬投资,王利峰
博颐稳健1期,2.01 ,2009/9/30,博颐投资,徐大成
鑫兰瑞,1.99 ,2008/8/26,中睿合银,刘睿
精英之星石A,1.97 ,2009/9/21,星石投资,江晖
星石20期,1.93 ,2010/8/18,星石投资,江晖
弘酬1号,1.88 ,2009/6/8,弘酬投资,--
泓谷成长2期,1.84 ,2011/5/19,泓谷投资,--
博颐精选2期,1.83 ,2008/10/21,博颐投资,徐大成
星石回报1期,1.83 ,2011/1/28,星石投资,江晖
星石15期,1.78 ,2009/6/10,星石投资,江晖
星石14期,1.78 ,2009/5/25,星石投资,江晖
六禾光辉岁月1期,1.73 ,2009/2/6,六禾投资,夏晓辉 王志强 陈信余
明达3期,1.73 ,2007/4/2,明达资产,刘明达
星石19期,1.73 ,2009/9/28,星石投资,江晖
稳健流动性管理,1.72 ,2011/4/29,--,--
道合,1.70 ,2007/9/13,道合投资,裴继伟 何宋勇
星石12期,1.70 ,2009/3/23,星石投资,江晖
