产品简称,return2012,成立日期,投资顾问,投资经理
银帆3期,54.44 ,2011/7/27,银帆投资,--
云腾1期,53.59 ,2011/3/9,云腾投资,王庆仁 顾涛
呈瑞1期,44.13 ,2010/10/25,呈瑞投资,沈守传
金石理财一期,40.78 ,2010/8/30,金石投资,--
鼎锋4号,28.37 ,2010/8/10,鼎锋资产,王小刚
鼎锋8期,27.94 ,2010/10/8,鼎锋资产,王小刚
兴业玉麒麟2号,27.24 ,2011/6/3,兴业证券,朱烈 杨定光
泽里和1号,26.88 ,2011/8/15,泽里和,周建新
平安证大一期,26.78 ,2007/2/5,证大投资,朱南松
混沌1号,26.70 ,2008/10/21,混沌投资,王歆
宏创,26.50 ,2009/3/26,宏创投资,--
未尔弗一期,25.87 ,2008/4/16,未尔弗,--
德源安1期,25.86 ,2010/12/20,德源安,许良胜
泽熙3期,25.67 ,2010/7/7,泽熙投资,徐翔
中国龙资本,25.22 ,2003/8/1,涌峰投资,赵凯
先机策略精选,25.13 ,2011/4/11,太和先机,谢勇
光大集结号收益型一..,25.01 ,2010/6/12,光大证券资产,王杭 伍祁平 谢锋
创赢1号,24.38 ,2008/12/18,宝银创赢,崔军
金中和东升,24.29 ,2010/12/8,金中和投资,刘国平
高恒1期,24.21 ,2011/3/7,高恒资产,--
德源安1号,24.05 ,2009/5/27,德源安,许良胜
银帆一期(铂金1号..,23.62 ,2011/6/30,银帆投资,--
嘉禾1号,23.55 ,2010/9/25,琪润投资,洪涛
长金7号,23.42 ,2010/8/11,长金投资,郑晓军
赢隆1期,22.99 ,2009/9/1,赢隆资产,周兵
中国龙稳健,22.96 ,2006/12/26,涌峰投资,赵凯
财富1期,22.91 ,2011/11/18,和聚基金,--
中国龙稳健四,22.21 ,2009/3/18,涌峰投资,赵凯
鼎锋成长一期,22.18 ,2008/11/4,鼎锋资产,张高
清水源1号,22.17 ,2011/11/23,清水源,张小川
国富精选二号,21.08 ,2009/12/17,国富投资,陈海峰
鼎锋2期,21.05 ,2010/4/27,鼎锋资产,张高
中国龙增长,20.98 ,2007/4/30,涌峰投资,王庆华
富鹏2期(德源安战..,20.63 ,2010/3/16,外贸信托,姚少杰 费鹏 车广义
中国龙精选,20.52 ,2007/6/15,涌峰投资,王庆华
德源安战略成长3号,20.48 ,2011/7/6,德源安,许良胜
锐集一号,20.47 ,2009/5/4,锐集投资,--
金泰瑞丰(乾清),20.12 ,2010/10/12,中金公司,史琳
中国龙精选二,19.83 ,2008/8/8,涌峰投资,王庆华
银帆2期,19.53 ,2011/8/31,银帆投资,--
国富精选三号,19.45 ,2010/2/3,国富投资,陈海峰
巨柏1号,19.41 ,2010/4/16,巨柏基金,祝朝安
中国龙增长二,19.40 ,2007/10/19,涌峰投资,王庆华
神农1期,19.31 ,2010/7/28,神农投资,陈宇
长金11号,19.10 ,2011/6/15,长金投资,郑晓军
双赢12期(彤源),18.69 ,2011/6/10,彤源投资,任云鹤
重阳1期,18.68 ,2008/9/5,重阳投资,裘国根
同威一期,18.61 ,2009/12/18,同威资产,李驰
汇利优选9期,18.60 ,2010/10/8,汇利资产,何震 侯逸
金中和1期,18.51 ,2010/6/4,金中和投资,刘国平
中行TOT成长组合..,18.38 ,2011/5/11,景林资产,蒋锦志
中国龙回报1期,18.29 ,2011/5/4,涌峰投资,赵凯
紫晶石(T-020..,18.19 ,2009/12/11,--,--
源乐晟6期,18.18 ,2010/7/28,源乐晟,曾晓洁
明达4期,17.99 ,2010/11/5,明达资产,刘明达
柘弓1期,17.85 ,2009/12/7,柘弓投资,陶然峰
民森K号,17.49 ,2010/6/4,民森投资,蔡明
明达,17.49 ,2005/11/28,明达资产,刘明达
金谷1号,17.23 ,2011/7/4,湘财证券,--
理成风景2号,17.19 ,2009/9/15,理成资产,杨玉山
重阳6期,17.12 ,2010/1/6,重阳投资,裘国根 陈心
长金9号,17.05 ,2011/1/18,长金投资,郑晓军
浙商金惠1号,16.99 ,2010/7/1,浙商证券资产,张宁 周良 王翊
中行TOT成长组合..,16.92 ,2011/5/11,鼎锋资产,张高
重阳2期,16.91 ,2008/12/12,重阳投资,裘国根
浙商金惠引航,16.84 ,2010/12/27,浙商证券资产,芮晨 周良 陈旻
重阳精选C号,16.73 ,2011/6/29,重阳投资,裘国根
