产品简称,当年收益%,成立日期,投资顾问,投资经理
呈瑞1期,31.32,2010/10/25,呈瑞投资,沈守传
泽熙5期,12.42,2010/7/30,泽熙投资,徐翔
景良能量1期,11.85,2008/3/4,景良投资,廖黎辉
立华合伙1期,10.96,2008/9/26,立华投资,王政
国弘1期,10.47,2009/5/18,国弘资产,--
银叶1号,9.57,2009/4/30,银叶投资,--
金中和西鼎,7.96,2007/7/27,金中和投资,曾军
嘉实股票精选1号,7.55,2008/8/18,嘉实基金,--
泽熙1号,7.21,2010/3/5,泽熙投资,徐翔
国弘2期,5.61,2009/9/28,国弘资产,--
展博1期,4.59,2009/6/15,展博投资,陈锋
展博精选B号,4.4,2010/12/29,展博投资,陈锋
展博精选A号,4.27,2010/12/29,展博投资,陈锋
国投瑞僖稳健收益,3.28,2009/3/20,国投信托,张志辉
招商智远稳健4号,3.2,2010/12/24,招商证券,曾琦
林园,2.55,2007/2/28,林园投资,林园
股贷双利1期,2.23,2010/1/20,--,--
麦尔斯通二期,2.22,2009/4/29,麦尔斯通,黄伟声
融新74号(富恩德..,1.55,2010/11/15,富恩德,--
升阳3期,1.15,2010/11/24,升阳资产,--
博鸿智富一号,0.77,2008/9/10,博鸿投资,姚卫东
宁电1期,0.76,2010/12/31,宁电投资,葛鹏
星石19期,0.61,2009/9/28,星石投资,江晖
星石17期,0.54,2009/12/3,星石投资,江晖
非凡理财1号,0.36,2010/10/25,星石投资,--
星石12期,0.33,2009/3/23,星石投资,江晖
双赢7期(星石),0.32,2009/9/29,星石投资,江晖
泽熙2期,0.27,2010/6/11,泽熙投资,徐翔
否极泰,0.25,2010/6/1,否极泰,董宝珍
星石18期,0.21,2009/9/16,星石投资,江晖
建信稳健增值1期,0.2,2010/11/10,星石投资,江晖
星石9期,0.19,2009/3/4,星石投资,江晖
精英之星石A,-0.01,2009/9/21,星石投资,江晖
星石16期,-0.25,2009/7/20,星石投资,江晖
万丰友方避险增值1..,-0.3,2009/6/17,万丰友方,陈益和 陈浩青
星石4期,-0.35,2008/2/2,星石投资,江晖
星石13期,-0.39,2009/5/21,星石投资,江晖
星石2期,-0.41,2007/7/30,星石投资,江晖
星石5期,-0.43,2008/4/28,星石投资,江晖
星石11期,-0.49,2009/3/18,星石投资,江晖
星石7期,-0.52,2008/8/20,星石投资,江晖
星石1期,-0.54,2007/7/30,星石投资,江晖
星石20期,-0.56,2010/8/18,星石投资,江晖
证券套利,-0.57,2008/1/28,国泰君安,--
星石15期,-0.58,2009/6/10,星石投资,江晖
星石3期,-0.58,2007/8/27,星石投资,江晖
星石6期,-0.59,2008/6/30,星石投资,江晖
星石14期,-0.59,2009/5/25,星石投资,江晖
宏创,-0.62,2009/3/26,宏创投资,--
lighthors..,-0.65,2006/10/9,天马资产,康晓阳
星石10期,-0.69,2009/3/12,星石投资,江晖
林园2期,-0.74,2007/9/17,林园投资,林园
得利宝至尊12号,-0.75,2010/11/3,星石投资,江晖
星石8期,-0.99,2009/1/21,星石投资,江晖
展博2期,-1.07,2010/8/4,展博投资,陈锋 余爱斌
林园3期,-1.15,2007/9/20,林园投资,林园
中国龙增长,-1.62,2007/4/30,涌峰投资,王庆华
民森H号,-1.66,2009/12/18,民森投资,蔡明
万丰友方避险增值2..,-1.66,2009/6/17,万丰友方,陈益和 陈浩青
中国龙精选,-1.77,2007/6/15,涌峰投资,王庆华
中国龙精选二,-2.05,2008/8/8,涌峰投资,王庆华
浦江之星30号,-2.3,2010/2/11,--,--
中国龙增长六,-2.77,2007/11/8,涌峰投资,--
中国龙增长五,-3.23,2007/11/20,涌峰投资,--
柘弓1期,-3.26,2009/12/7,柘弓投资,陶然峰
中信证券贵宾1号,-3.31,2010/9/28,中信证券,胡继光 杨喆 张晓亮
平安启明星,-3.32,2007/6/15,柘弓投资,--
中国龙增长二,-3.44,2007/10/19,涌峰投资,王庆华
升阳1期,-3.58,2010/8/19,升阳资产,--
升阳2期,-3.69,2010/9/17,升阳资产,--
友恒成长1期,-3.88,2010/10/25,友恒投资,周洪兵
精熙,-4.14,2009/2/27,精熙投资,夏宁
赢隆1期,-4.17,2009/9/1,赢隆资产,周兵
以太,-4.33,2007/7/20,以太投资,--
红宝石(上信-H-..,-4.42,2011/1/4,--,--
中国龙稳健四,-5.04,2009/3/18,涌峰投资,赵凯
喜马拉雅1期,-5.42,2009/11/20,喜马拉雅,吴刚
融新316号玖歌投..,-5.44,2010/9/16,玖歌投资,--
