产品简称,当年收益%,成立日期,投资顾问,投资经理
毅扬1期,-5.46,2010/11/8,毅扬投资,梁丰 郭楷泽
中国龙稳健二,-5.76,2008/1/29,涌峰投资,--
国投飞天2号,-5.9,2009/6/24,国投信托,--
世诚扬子3号,-6.01,2010/12/30,世诚投资,陈家琳
泽熙4期,-6.06,2010/7/7,泽熙投资,徐翔
融昌一期,-6.12,2010/7/9,融昌资产,--
麦尔斯通三期,-6.15,2009/3/19,麦尔斯通,--
神农1期,-6.22,2010/7/28,神农投资,陈宇
恒寅1号,-6.27,2010/11/25,恒寅投资,严隽
麦尔斯通一期,-6.29,2008/7/17,麦尔斯通,黄伟声
君丰1期,-6.31,2007/12/20,君丰资本,谢爱龙
民森A号,-6.35,2007/6/25,民森投资,蔡明
中国龙稳健三,-6.49,2008/2/5,涌峰投资,--
民森K号,-6.51,2010/6/4,民森投资,蔡明
盈融达3号,-6.53,2010/12/20,盈融达,--
民森G号,-6.64,2009/8/17,民森投资,蔡明
睿信5期,-6.68,2010/9/28,睿信投资,李振宁
景泰复利回报4期,-6.78,2010/12/1,景泰利丰,张英飚
中睿合银5期,-6.82,2010/3/25,中睿合银,刘睿
金泰瑞丰(乾清),-6.9,2010/10/12,中金公司,史琳
民森F号,-7,2009/8/17,民森投资,蔡明
银石1期,-7,2010/12/30,银石投资,丘海云
朱雀18期,-7.14,2010/9/30,朱雀投资,李华轮
富麟1号,-7.23,2010/11/29,富麟投资,--
理成转子2号,-7.24,2009/7/15,理成资产,程义全
鑫兰瑞,-7.25,2008/8/26,中睿合银,刘睿
民森B号,-7.4,2007/6/25,民森投资,蔡明
高信百诺1期,-7.46,2010/11/25,高信百诺,孙威
创赢1号,-7.53,2008/12/18,宝银创赢,崔军
信杉一期,-7.55,2010/10/26,信杉投资,--
中睿合银6期,-7.55,2010/6/21,中睿合银,--
汉华,-7.79,2007/9/7,汉华资产,--
瀚信稳健2期,-7.81,2010/12/16,瀚信资产,蒋国云
华夏四号,-7.92,2008/1/23,富舟投资,--
民森E号,-8.06,2009/7/23,民森投资,蔡明
鼎诺秋实1期,-8.27,2009/12/7,鼎诺投资,黄弢
中睿合银二期,-8.43,2009/7/6,中睿合银,刘睿
睿信成长1期,-8.53,2010/1/8,睿信投资,李振宁
天马,-8.57,2006/9/11,天马资产,康晓阳
鑫兰瑞二期,-8.59,2009/6/29,中睿合银,刘睿
双赢3期(朱雀),-8.65,2010/7/22,--,--
理成风景1号,-8.79,2008/9/10,理成资产,程义全
晓牛新动力,-8.91,2008/9/25,晓牛资产,--
中欧瑞博一期,-8.96,2008/1/25,中欧瑞博,吴伟志
小海豚,-9.09,2008/9/8,小海豚,徐栋
世诚扬子2号,-9.12,2008/4/18,世诚投资,陈家琳
中睿合银3期,-9.15,2010/1/8,中睿合银,刘睿
汉华1期,-9.19,2008/8/28,汉华资产,--
中睿合银7期,-9.28,2010/12/20,中睿合银,刘睿
润晖稳健增值,-9.3,2010/8/20,润晖资产,闵昱
得利宝至尊11号,-9.32,2010/11/12,朱雀投资,李华轮
融裕22号(精熙2..,-9.38,2010/7/8,精熙投资,夏宁
鼎天聚富(智远1期..,-9.39,2010/5/31,鼎天投资,--
万丰友方稳健成长1..,-9.45,2009/6/17,万丰友方,陈益和
实力旗舰,-9.48,2010/6/10,实力资产,陈理
中国机会二期,-9.58,2007/2/28,淡水泉,--
新思哲1期,-9.6,2010/4/21,新思哲,韩广斌
中国龙价值二,-9.64,2007/7/17,涌峰投资,马宏
中睿合银4期,-9.65,2010/3/18,中睿合银,刘睿
中睿合银8期,-9.67,2010/12/13,中睿合银,刘睿
朱雀13期,-9.69,2009/12/10,朱雀投资,张延鹏
优化趋势策略(E-..,-9.69,2011/1/5,--,--
中国龙价值五,-9.74,2007/11/22,涌峰投资,马宏
中国龙稳健,-9.78,2006/12/26,涌峰投资,赵凯
中国龙二,-9.79,2008/5/14,涌峰投资,--
朱雀8期,-9.85,2009/6/1,朱雀投资,陈秋冬
毕升精选成长1期,-9.9,2010/9/21,毕升资产,--
浙商金惠引航,-9.91,2010/12/27,浙商证券资产,周良 陈旻 芮晨
大成基金灵活配置,-9.94,2007/12/10,大成基金,杨建华
中国龙资本,-9.99,2003/8/1,涌峰投资,赵凯
光大集结号混合型一..,-10.04,2010/1/28,光大证券资产,卓致勤 谢锋 聂昕
鸿道2期,-10.11,2010/10/28,鸿道投资,孙建冬
双赢6期(涌金),-10.17,2009/9/29,外贸信托,--
长润二期,-10.2,2009/6/30,长润资产,--
归富长乐1号,-10.2,2010/8/31,归富投资,张关心
天马成长,-10.21,2010/12/1,天马资产,康晓阳
明河价值一期,-10.24,2010/6/25,明河投资,张翎
六禾财富东莞,-10.24,2010/12/22,六禾投资,夏晓辉 赵立坚 王志强
源乐晟3期(富锦2..,-10.24,2010/5/28,源乐晟,曾晓洁
灵活配置1号,-10.25,2008/12/2,华夏基金,--
宁博1期,-10.33,2008/9/12,宁博资产,--
华夏二号,-10.36,2007/12/26,富舟投资,--
申银万国宝鼎一期,-10.37,2010/3/26,申银万国,牟纪祥 张涵
和禄1号,-10.38,2009/6/10,理想投资,于水
长江二期A,-10.39,2009/12/4,涌金投资,刘红海
万丰友方稳健成长3..,-10.42,2009/6/17,万丰友方,陈益和
精英之淡水泉A,-10.43,2009/9/21,淡水泉,赵军
瑞银财富1号,-10.47,2010/11/11,瑞银证券,赖晶铭
亿龙中国,-10.49,2006/4/18,涌金投资,刘红海
淡水泉2008,-10.51,2008/2/5,淡水泉,赵军
中欧瑞博1期,-10.52,2008/12/1,中欧瑞博,吴伟志
万丰友方稳健成长2..,-10.55,2009/1/16,万丰友方,陈益和
仙童1期(海南成长..,-10.57,2010/5/5,仙童投资,张晓君
源乐晟8期,-10.58,2010/9/30,源乐晟,曾晓洁
中国龙价值三,-10.61,2007/9/24,涌峰投资,--
从容稳健1期,-10.66,2009/5/8,从容投资,吕俊
从容稳健2期,-10.69,2009/3/18,从容投资,吕俊
源乐晟6期,-10.71,2010/7/28,源乐晟,曾晓洁
稳健增长,-10.73,2007/12/26,尊嘉资产,宋炳山
鸿道1期,-10.76,2010/4/8,鸿道投资,孙建冬
中国龙价值四,-10.81,2007/9/29,涌峰投资,--
中国龙价值六,-10.86,2007/12/4,涌峰投资,马宏
灵活配置2号,-10.88,2009/4/21,诺亚远征,--
朱雀1期,-10.9,2008/12/17,朱雀投资,张延鹏
淡水泉成长九期,-10.9,2009/11/3,淡水泉,赵军
华夏三号,-10.95,2008/1/21,富舟投资,--
中国机会三期,-11.03,2008/1/16,淡水泉,赵军
翼虎成长1期,-11.09,2008/3/20,翼虎投资,余定恒
合志同方一号,-11.15,2008/1/29,新同方,刘迅
鸿道精英1号,-11.21,2010/8/9,鸿道投资,--
双赢9期(从容),-11.25,2009/9/29,外贸信托,--
翼虎成长2期,-11.27,2010/11/19,翼虎投资,余定恒
智德精选6期,-11.37,2010/12/9,智德投资,伍军
明曜精选1期,-11.38,2009/6/19,明曜投资,曾昭雄
长金2号,-11.48,2008/12/26,长金投资,郑晓军
淡水泉成长七期,-11.51,2009/7/31,淡水泉,赵军
淡水泉成长四期,-11.53,2009/6/8,淡水泉,赵军
明曜1期,-11.54,2010/4/2,明曜投资,曾昭雄
淡水泉成长十期A,-11.57,2010/2/26,淡水泉,赵军
泰瓴-泰九1期,-11.68,2010/10/19,泰瓴资产,张林涛 文江
瑞华卓越,-11.7,2010/4/9,瑞华投资,张建斌
淡水泉成长一期,-11.71,2007/9/6,淡水泉,赵军
银沙策略精选,-11.73,2010/2/5,银沙创投,陈军
中国龙价值七,-11.75,2008/3/25,涌峰投资,马宏
淡水泉成长三期,-11.75,2009/5/27,淡水泉,赵军
中国龙价值八,-11.75,2008/3/25,涌峰投资,马宏
富鹏(1期),-11.81,2009/8/17,外贸信托,--
中国龙价值,-11.84,2007/5/31,涌峰投资,马宏
长金4号,-11.84,2009/6/23,长金投资,郑晓军
淡水泉成长五期,-11.9,2009/8/5,淡水泉,赵军
六禾光辉岁月1期,-11.91,2009/2/6,六禾投资,夏晓辉 王志强 陈信余
朱雀14期,-11.93,2010/1/5,朱雀投资,李华轮
淡水泉成长六期,-11.95,2009/7/29,淡水泉,赵军
鼎陶朱辉2期,-11.99,2010/11/5,鼎陶朱辉,段焰伟
源乐晟4期,-12.08,2010/4/29,源乐晟,曾晓洁
富临门1号,-12.09,2009/6/30,富派投资,--
得利宝至尊10号,-12.1,2010/10/2,远策投资,张益驰
金中和6期,-12.1,2009/8/20,金中和投资,曾军 王阳
灵活配置3号,-12.14,2009/6/16,诺亚远征,--
朱雀16期,-12.15,2010/8/18,朱雀投资,李华轮
浙商金惠1号,-12.25,2010/7/1,浙商证券资产,周良 王翊 张宁
源乐晟2期,-12.46,2010/1/28,源乐晟,曾晓洁
道合2期,-12.5,2007/11/20,道合投资,--
鼎锋8期,-12.51,2010/10/8,鼎锋资产,王小刚
盈融达精英1期,-12.57,2010/3/26,盈融达,--
乐晟精选,-12.57,2008/7/8,源乐晟,曾晓洁
源乐晟7期,-12.57,2010/10/8,源乐晟,曾晓洁
从容稳健3期,-12.58,2009/3/25,从容投资,吕俊
淡水泉精选1期,-12.64,2010/7/5,淡水泉,赵军
久铭一期,-12.77,2009/2/24,久铭投资,王华
智德二期,-12.79,2009/1/22,智德投资,伍军
东方港湾马拉松,-12.81,2007/2/28,东方港湾,但斌
朱雀合伙专项,-12.88,2009/3/30,朱雀投资,李华轮
朱雀3期,-12.89,2009/7/29,朱雀投资,李华轮
中睿吉祥管家一期,-12.9,2009/5/25,中睿合银,刘睿
朱雀15期,-12.9,2010/2/9,朱雀投资,梁跃军
晓牛一号,-12.91,2008/1/3,晓牛资产,--
睿信,-12.95,2007/2/8,睿信投资,李振宁
源乐晟9期,-12.95,2010/11/5,源乐晟,曾晓洁
中国龙进取,-13.04,2004/6/15,涌峰投资,李莉芳
通用汇锦1号,-13.05,2010/5/6,通用投资,鲍晓冰
新同方2期,-13.17,2008/3/28,新同方,--
同威一期,-13.25,2009/12/18,同威资产,李驰
朱雀1期,-13.27,2007/9/17,朱雀投资,李华轮
朱雀9期,-13.28,2010/1/7,朱雀投资,李华轮
景林丰收,-13.29,2007/3/30,景林资产,蒋锦志
远策3期,-13.32,2009/10/20,远策投资,张益驰
朱雀2期,-13.38,2007/9/17,朱雀投资,李华轮
远策1期,-13.4,2009/9/29,远策投资,张益驰
六禾财富竹溪,-13.45,2010/7/5,六禾投资,夏晓辉 王志强 徐志云 
财富成长6期,-13.47,2010/12/13,财富成长,--
鼎锋4号,-13.49,2010/8/10,鼎锋资产,王小刚
勤修1期,-13.51,2010/6/22,勤修资产,肖强
远策5期,-13.52,2010/2/10,远策投资,张益驰
景富同1期,-13.53,2010/6/23,景富同投资,王卫东
东方港湾1期,-13.55,2010/12/31,东方港湾,但斌
金烁一期通用1号,-13.59,2009/12/29,通用投资,--
泰瓴3期,-13.68,2010/11/15,泰瓴资产,张林涛 文江
源乐晟5期,-13.73,2010/7/30,源乐晟,曾晓洁
朱雀10期,-13.76,2009/11/12,朱雀投资,李华轮
华西锦诚1号,-13.83,2010/7/29,华西证券,--
朱雀二期A,-13.85,2010/7/13,朱雀投资,李华轮
泓湖5期,-13.86,2010/12/31,泓湖投资,梁文涛
泽熙3期,-13.93,2010/7/7,泽熙投资,徐翔
杰凯一期,-14,2008/4/29,杰凯资产,--
福麟13号(泓湖3..,-14.04,2010/6/30,泓湖投资,梁文涛
春天1号(上善御富..,-14.09,2010/8/9,上善御富,刘鹰 康晓云
长金6号,-14.1,2010/3/15,长金投资,--
励石一号,-14.11,2007/12/28,励石投资,肖世明
鼎辉1号,-14.16,2008/11/28,鼎陶朱辉,段焰伟
金中和1期,-14.2,2008/11/3,金中和投资,刘国平
重阳6期,-14.27,2010/1/6,重阳投资,裘国根 陈心
泓湖6期,-14.27,2010/11/9,泓湖投资,梁文涛
麦星,-14.43,2009/2/20,麦星投资,--
武当1期,-14.44,2007/11/12,武当资产,田荣华
国信金理财限额特定..,-14.48,2010/9/16,国信证券,--
盈捷5期,-14.57,2010/2/10,盈捷投资,--
君富持续增长一期,-14.63,2008/7/3,君富投资,--
博颐精选,-14.66,2008/2/5,博颐投资,徐大成
汇富3号(远策),-14.72,2010/7/21,远策投资,张益驰
博颐精选3期,-14.73,2009/7/9,博颐投资,徐大成
景林稳健,-14.73,2006/10/31,景林资产,蒋锦志
览众1期,-14.74,2009/11/28,鑫元览众,王帅
朱雀11期,-14.77,2009/12/8,朱雀投资,李华轮
鸿道3期,-14.81,2010/11/3,鸿道投资,孙建冬
银河福星1号,-14.84,2010/9/21,银河证券,沈涛 宫德 吴春龙 郑锦斐
远策2期,-14.86,2009/9/29,远策投资,张益驰
奕金安2期,-14.91,2010/4/16,奕金安投资,靳奕
朱雀17期,-14.96,2010/10/8,朱雀投资,时红
聚发(11)混沌1..,-14.98,2010/3/16,混沌投资,王歆
泓湖1期,-15.03,2007/2/16,泓湖投资,梁文涛
从容成长7期,-15.09,2010/10/11,从容投资,吕俊
远策8期,-15.13,2010/11/22,远策投资,张益驰
博颐稳健1期,-15.16,2009/9/30,博颐投资,徐大成
新同方,-15.23,2007/7/12,新同方,刘迅 王连恒
谦石1号,-15.31,2010/10/15,谦石投资,李追阳
彩瑞3期,-15.34,2010/8/6,彩瑞投资,--
汇阳汇峰,-15.36,2008/3/31,汇阳汇峰投资,--
双赢5期(民森),-15.39,2009/9/29,民森投资,蔡明
名禹稳健增长,-15.44,2010/9/26,名禹资产,王益聪
明达2期,-15.46,2006/10/24,明达资产,刘明达
投资精英之智德A,-15.54,2010/4/8,智德投资,伍军
朱雀12期,-15.57,2009/11/23,朱雀投资,王欢
量化一期,-15.65,2010/6/3,--,--
青骓量化一期,-15.65,2010/6/3,--,--
融裕33号六禾财富..,-15.7,2010/11/1,六禾投资,夏晓辉 赵立坚 王志强
博颐精选2期,-15.72,2008/10/21,博颐投资,徐大成
泓湖2期,-15.72,2009/11/24,泓湖投资,梁文涛
六禾财富银盏一期,-15.76,2008/3/26,六禾投资,--
远策4期,-15.86,2009/11/3,远策投资,张益驰
宏石1号(2),-15.87,2009/2/26,昶钰投资,张磊
瀚信成长4期,-15.91,2010/4/29,瀚信资产,蒋国云
六禾财富瓯越,-16.06,2010/11/29,六禾投资,夏晓辉 王志强 徐志云 
溪牛一期,-16.09,2010/10/13,--,--
富锦6号(金中和),-16.13,2010/8/30,金中和投资,曾军 何滨
东方远见5期,-16.16,2010/11/22,东方远见,许勇
金中和2期,-16.16,2009/3/18,金中和投资,--
智德精选3期,-16.17,2010/5/13,智德投资,伍军
万利富达,-16.19,2007/3/20,万利富达投资,胡伟涛
宏石1号,-16.2,2009/2/26,宏石资产,李宏斌
丰瑞世纪2期,-16.22,2010/3/31,丰瑞世纪,--
恒达通汇1期,-16.27,2009/8/26,恒达通汇,沈一民
双盈1号,-16.31,2010/1/20,恒达通汇,--
远策6期,-16.32,2010/1/18,远策投资,张益驰
智德精选5期,-16.37,2010/8/19,智德投资,伍军
安苏1号,-16.47,2009/4/20,安苏投资,--
景泰复利回报二期,-16.54,2008/1/8,景泰利丰,张英飚
盈捷九头鸟2期,-16.56,2009/3/18,盈捷投资,李少伟
智德持续增长,-16.59,2008/6/20,智德投资,伍军
坤阳乾坤一号,-16.65,2007/8/23,坤阳资产,陈敏
融裕20号明渝霄阳,-16.71,2010/7/28,明渝霄阳,--
建信稳健增值2期,-16.77,2010/11/10,从容投资,吕俊
国富精选二号,-16.98,2009/12/17,国富投资,陈海峰
国富精选三号,-17.04,2010/2/3,国富投资,陈海峰
图原精选1期,-17.04,2009/12/29,图原资产,吴雄伟
茂源1号,-17.05,2009/5/11,茂源资本,孙满
武当2期,-17.06,2007/12/19,武当资产,--
东方红先锋1号,-17.15,2010/1/7,东方红,顾凌云 林树财 李竞
开宝2期,-17.16,2010/6/1,开宝资产,叶猷建
建源财富成长,-17.17,2010/1/18,建元天华,赵建光
和美1期,-17.2,2010/10/21,多和美,张益凡
重阳3期,-17.2,2009/9/2,重阳投资,裘国根 陈心
长金7号,-17.28,2010/8/11,长金投资,郑晓军
金百镕1期,-17.3,2009/11/13,金百镕,周枫
合赢2期,-17.33,2010/6/4,盈峰资本,曾昭雄 张冰
景泰复利回报1期,-17.34,2010/1/6,景泰利丰,张英飚
普邦恒升(华金1期..,-17.35,2010/12/31,普邦恒升,陈文涛
平安德丰,-17.36,2007/2/8,盛海投资,--
理成转子3号,-17.41,2010/11/12,理成资产,杨玉山 程义全
同威3期,-17.46,2009/7/30,同威资产,李驰
奕金安一期,-17.47,2009/7/27,奕金安投资,靳奕
国投瑞僖稳健增强,-17.53,2008/12/24,瑞银证券,--
执耳医药,-17.54,2010/9/28,执耳投资,朱爱国
景富同2期,-17.61,2010/10/26,景富同投资,王卫东
同威增值2期,-17.74,2009/9/3,同威资产,--
景泰复利回报一期,-17.79,2007/9/7,景泰利丰,张英飚
德丰华1期,-17.85,2010/8/18,德丰华投资,戴勇毅
弘酬1号,-17.88,2009/6/8,弘酬投资,--
鑫增长1号,-17.96,2008/1/10,鑫增长,罗文军
武当二期,-17.96,2009/9/30,武当资产,--
穿石品质生活,-17.97,2011/1/4,穿石投资,蔡生俭
上元1期,-18,2009/12/30,上元投资,--
华信1号,-18.01,2010/4/13,尊嘉资产,--
凯石三期A,-18.08,2010/1/11,凯石益正资产,程俊豪
朱雀5期,-18.15,2009/5/15,朱雀投资,梁跃军
道合,-18.17,2007/9/13,道合投资,裴继伟 何宋勇
富锦7号(汇利),-18.22,2010/8/27,汇利资产,何震
投资精英之朱雀A,-18.23,2009/10/10,朱雀投资,李华轮
朱雀4期,-18.24,2009/4/15,朱雀投资,梁跃军
浙商金惠3号,-18.26,2010/12/1,浙商证券资产,周良 陈旻
新价值9期,-18.27,2010/9/2,新价值,罗伟广
景富趋势成长一期,-18.33,2010/12/1,景富投资,祝巍
普邦恒升聚富,-18.39,2008/7/1,普邦恒升,陈文涛
重阳2期,-18.49,2008/12/12,重阳投资,裘国根
合赢,-18.52,2007/10/9,盈峰资本,钱晓宇 张冰
隆圣一号,-18.74,2007/11/7,隆圣投资,--
国泰君安君享富利,-18.75,2010/10/27,国泰君安资产,唐洁 张骏 顾颉 徐志敏
枫岭1期,-18.76,2009/5/19,枫岭投资,程杰
远策7期,-18.76,2010/6/10,远策投资,张益驰
聚益1号,-18.76,2009/9/28,聚益投资,汤小生
方圆奥特1期,-18.79,2010/9/7,方圆奥特,杨云
东方远见6期,-18.79,2010/9/13,东方远见,许勇
朱雀7期,-18.81,2009/5/18,朱雀投资,梁跃军
弘酬3期,-18.83,2009/11/10,弘酬投资,王利峰
聚益5号,-18.86,2010/11/3,聚益投资,汤小生
同威增值3期,-18.92,2009/9/18,同威资产,李驰
明达3期,-18.93,2007/4/2,明达资产,刘明达
利升1期,-19.01,2010/11/24,利升锐华,--
君利稳健收益(龙赢..,-19.03,2010/8/16,龙赢富泽,童第轶
金中和东升,-19.07,2010/12/8,金中和投资,刘国平
瀚信稳健1期,-19.08,2010/7/6,瀚信资产,蒋国云
原君1期,-19.09,2009/10/21,原君投资,--
丰煜如意理财一期,-19.21,2010/1/11,丰煜投资,刘峰
从容优势7期,-19.21,2010/12/30,从容投资,吕俊
诺亚大成A股精选二..,-19.23,2009/9/15,诺亚远征,--
丰煜如意理财二期,-19.27,2010/8/27,丰煜投资,刘峰
智德精选,-19.27,2009/4/28,智德投资,伍军
华夏优选1号,-19.35,2009/11/30,东方远见,许勇
美红1号,-19.46,2010/10/18,富灵投资,灵犀
沃胜1期,-19.56,2010/12/2,沃胜资产,魏延军
新价值15期,-19.61,2010/9/2,新价值,罗伟广
达仁通宝一期,-19.63,2010/9/20,达仁投资,--
汇利优选2期,-19.67,2009/3/20,汇利资产,何震
武当11期,-19.69,2009/6/18,武当资产,田荣华
恒德1期,-19.72,2010/7/21,恒德投资,王瑜
普邦恒升聚富2期,-19.73,2009/7/21,普邦恒升,陈文涛
武当10期,-19.73,2009/5/22,武当资产,田荣华
重阳1期,-19.75,2008/9/5,重阳投资,裘国根
证大价值,-19.75,2007/10/29,证大投资,姜榕
金中和5期,-19.76,2009/6/8,金中和投资,--
平石尊悦,-19.82,2010/1/5,平石资产,尹志平
盈捷九头鸟1期,-19.86,2009/3/23,盈捷投资,李少伟
向日葵1号,-19.94,2008/4/22,向日葵,陈靖吾
鼎锋2期,-20,2010/4/27,鼎锋资产,张高
汇利优选,-20.03,2008/7/18,汇利资产,何震
国富精选五号,-20.09,2010/8/4,国富投资,陈海峰
财富成长01期,-20.12,2010/7/29,财富成长,丁昌 李映东 唐雪来
游消费板块(上信-..,-20.18,2010/3/9,国泰基金,--
化工量化双核心策略,-20.19,2010/6/10,外贸信托,费鹏
合德丰泰,-20.38,2008/3/15,合德丰泰,王宇
云程泰增值二期,-20.56,2008/4/9,云程泰,魏上云
新价值3期,-20.59,2008/2/15,新价值,黄云轩 李东辉 罗伟广
财富成长4期,-20.66,2010/11/15,财富成长,--
汇富4号(汇利优选..,-20.77,2009/7/24,汇利资产,侯逸 何震
武当17期,-20.81,2010/3/18,武当资产,田荣华
尚雅8期,-20.91,2010/7/28,尚雅投资,常昊 石波
武当12期,-20.99,2009/6/10,武当资产,田荣华
武当3期,-21.02,2008/6/6,武当资产,田荣华
汇利优选6期(富锦..,-21.03,2010/6/7,汇利资产,周小峰 何震
彤源2号,-21.04,2009/10/30,彤源投资,任云鹤
云程泰增值,-21.09,2007/8/1,云程泰,魏上云
财富成长2期,-21.11,2010/9/20,财富成长,丁昌 李映东 唐雪来
财富宝,-21.19,2010/2/10,国投信托,--
鼎锋成长一期,-21.19,2008/11/4,鼎锋资产,张高
东方远见1期,-21.22,2010/5/5,东方远见,许勇
广益国经,-21.25,2010/7/6,广益国经,--
宏利2期,-21.27,2008/6/2,龙赢富泽,童第轶
金中和1期,-21.28,2010/6/4,金中和投资,刘国平
恒复趋势1号,-21.31,2009/1/20,恒复投资,刘强
斯达克成长一期,-21.38,2010/11/1,斯达克,张建宇 李文辉
渝信壹号,-21.4,2010/5/21,穿石投资,蔡生俭
汇利3期,-21.43,2010/6/10,汇利资产,何震
武当4期,-21.43,2008/8/11,武当资产,田荣华
联合成长2号,-21.44,2008/2/13,众禄投资,裴晓岩
紫晶石(上信-T-..,-21.45,2010/3/24,--,--
泰瓴-泰九2期,-21.46,2010/10/29,泰瓴资产,文江 张林涛
东方红先锋3号,-21.48,2010/7/8,东方红,林树财 姜荷泽
智诚4期,-21.53,2010/6/11,智诚海威,张弩
融新85号(超盛一..,-21.56,2010/11/18,超盛投资,林超航
中诚主题精选,-21.57,2009/5/20,凯石益正资产,--
武当稳健增长,-21.57,2010/11/16,武当资产,田荣华
龙赢一号,-21.59,2010/4/21,龙赢富泽,童第轶
武当6期,-21.6,2009/3/27,武当资产,田荣华
龙鼎3号,-21.66,2010/8/2,龙鼎投资,冯为民
智诚5期,-21.68,2010/5/31,智诚海威,张弩
巨柏1号,-21.7,2010/4/16,巨柏基金,祝朝安
从容成长3期,-21.78,2009/6/12,从容投资,吕俊
睿信4期,-21.8,2007/7/3,睿信投资,李振宁
从容成长8期,-21.83,2010/4/27,从容投资,吕俊
从容成长1期,-21.83,2009/4/8,从容投资,吕俊
