产品简称,return2014,成立日期,投资顾问,投资经理
创势翔1号,300.8,2012/5/20,创势翔投资,黄平
福建滚雪球,273.8,2013/1/31,滚雪球投资,林涛 林军 林波
泽熙3期,209.08,2010/7/7,泽熙投资,徐翔
蕴泽1号,153.29,2011/1/6,西藏信托,王晶 陶骜
泽熙1号,137.44,2010/3/5,泽熙投资,徐翔
蕴泽2号,133.64,2013/12/2,西藏信托,王晶 陶骜
长余1号,125.47,2011/12/2,长余资本,陈磊
清水源1号,123.92,2011/11/23,清水源,张小川
证大稳健,117.64,2008/6/6,证大投资,刘兵
天乙1期,117.43,2013/11/20,天乙合资本,彭乃顺
否极泰,113.62,2010/6/1,否极泰,董宝珍
中山宝睿精选,112.92,2013/5/8,中山证券,--
嘉禾1号,108.26,2010/9/25,琪润投资,洪涛
懿和二期,106.82,2013/5/24,懿和轩投资,--
御峰一号,106.47,2012/7/9,懋峰资产,夏和平
康成亨1期,103.42,2009/5/22,康成亨,张耀东
德源安风险缓冲1期,99.96,2012/11/16,德源安,许良胜
智诚7期,98.82,2011/1/19,智诚海威,卢源 卢伟强
和美1期,97.88,2010/10/21,多和美,张益凡
炜博领航,96.73,2013/12/31,炜博投资,邱樟木
天马一期,94.6,2011/11/21,天马时代,马列
东源1期,91.17,2011/9/9,东源嘉盈,杨凡 陈杰明
沃胜二期,89.46,2013/12/16,沃胜资产,魏延军
德源安战略成长3号,89.18,2011/7/6,德源安,许良胜
鑫安3期,87.43,2012/6/21,易鑫安,--
雪球2期,86.95,2013/10/11,柯铭资产,--
桃花源共同量子1期,86.03,2013/8/15,桃花源投资,陈阳
泽熙4期,85.89,2010/7/7,泽熙投资,徐翔
金融战士1号,85.63,2011/2/21,康成亨,张耀东
中国龙回报1期,85.39,2011/5/4,涌峰投资,赵凯
德源安1号,84.83,2009/5/27,德源安,许良胜
图原精选1期,84.09,2009/12/29,图原资产,吴雄伟
平安证大一期,83.59,2007/2/5,证大投资,朱南松
名禹稳健增长,82.1,2010/9/26,名禹资产,王益聪
塔晶狮王,81.89,2007/9/3,塔晶投资,冷再清
证大四期A,81.71,2012/6/13,证大投资,朱南松
证大价值,81.28,2007/10/29,证大投资,姜榕
德谷6期,81.16,2011/8/5,--,--
德源安1期,80.76,2010/12/20,德源安,许良胜
双赢1期(瀚信),80.56,2010/8/27,瀚信资产,蒋国云
中国龙稳健四,80.43,2009/3/18,涌峰投资,赵凯
银帆一期(铂金1号..,78.82,2011/6/30,银帆投资,--
中国龙资本,77.58,2003/8/1,涌峰投资,赵凯
鑫安2期,76.98,2012/5/15,易鑫安,栾鑫
中鼎盈丰二期,76.79,2010/4/23,瀚信资产,蒋国云
穗富1号,73.95,2013/9/5,穗富投资,邱永明 易向军
多策略创赢2期,73.7,2013/7/5,宝银创赢,崔军
红山1期,72.78,2007/9/6,红山投资,李雅非
泽熙2期,72.76,2010/6/11,泽熙投资,徐翔
鑫安1期,72.64,2011/10/26,易鑫安,栾鑫
久铭一期,72.32,2009/2/24,久铭投资,王华
中国龙稳健(五),72.25,2013/2/5,涌峰投资,赵凯
明达3期,43.62,2007/4/2,明达资产,刘明达
创赢1号,71.21,2008/12/18,宝银创赢,崔军
中国机会三期,70.98,2008/1/16,淡水泉,赵军
安心成长组合(民森..,69.63,2012/11/21,民森投资,蔡明
长安少数派5号,69.36,2013/9/25,少薮派投资,周良
尊富1号,67.63,2013/11/29,前海尊富资本,--
融新74号(富恩德..,67.41,2010/11/15,富恩德,--
开宝1期,67.19,2007/11/19,开宝资产,叶猷建
双赢10期(淡水泉..,66.33,2011/4/28,淡水泉,赵军
稳健增长,65.34,2007/12/26,尊嘉资产,宋炳山
德汇稳健一号,65.29,2012/3/26,--,--
普邦恒升聚富2期,65.04,2009/7/21,普邦恒升,陈文涛
富鹏2期(德源安战..,64.95,2010/3/16,外贸信托,姚少杰 费鹏 车广义
投资精英之信璞A,64.76,2012/5/9,信璞投资,归江
新价值,64.39,2007/11/15,新价值,张旭 罗伟广 陈延泰
多策略创赢1期,64.36,2013/4/3,宝银创赢,崔军
金狮152号,64.29,2012/8/10,--,--
万永1期,64.11,2012/12/24,万永投资,刘振涛
高溪量化对冲1号,63.75,2013/6/21,高溪资产,张海
信璞深蓝,63.55,2012/5/28,信璞投资,徐晨光
淡水泉2008,63.5,2008/2/5,淡水泉,赵军
龙马,63.4,2007/11/16,柏恩投资,龙小波
诚盛1期,63.3,2012/8/24,诚盛投资,--
惠正成长,63.04,2013/2/6,惠正投资,江作良
至尊19号,62.98,2011/4/11,国淼投资,马泽
金狮196号,62.75,2011/5/20,--,--
理成转子5号,62.06,2011/4/27,理成资产,田晓军
前海一线对冲,62.04,2013/1/4,一线对冲,胡志忠
精英之淡水泉A,61.96,2009/9/21,淡水泉,赵军
中国龙稳健,61.96,2006/12/26,涌峰投资,赵凯
淡水泉成长一期,61.85,2007/9/6,淡水泉,赵军
塔晶狮王二号,61.11,2007/10/8,塔晶投资,冷再清
淡水泉精选1期,60.99,2010/7/5,淡水泉,赵军
尚道乾坤合伙基金,60.91,2011/9/15,尚道投资,谢柳毅
合正普惠1期,60.68,2011/12/19,合正普惠,冯宇辉 许彤
智诚3期,60.08,2009/9/21,智诚海威,张弩
淡水泉成长七期,59.77,2009/7/31,淡水泉,赵军
德汇成长1期,59.72,2013/3/14,--,--
长安投资266号,59.72,2013/8/9,--,--
理成风景3号,59.58,2011/10/10,理成资产,杨玉山 田晓军
