产品简称,return2014,成立日期,投资顾问,投资经理
龙票1期,59.54,2008/1/29,龙票资产,曾祥文
淡水泉成长十期A,59.25,2010/2/26,淡水泉,赵军
能宏1期,59.22,2010/12/22,--,--
藏宝图基金1号,59.05,2013/12/1,新里程投资,赖戌播
浦江之星149号-..,59.03,2013/6/14,彤源投资,--
创赢5号,58.97,2013/4/2,宝银创赢,崔军
淡水泉成长四期,58.51,2009/6/8,淡水泉,赵军
淡水泉成长三期,58.32,2009/5/27,淡水泉,赵军
普邦恒升聚富,58.27,2008/7/1,普邦恒升,陈文涛
宏北01号-第01..,58.27,2013/11/8,--,--
智诚5期,58,2010/5/31,智诚海威,张弩
淡水泉成长五期,58,2009/8/5,淡水泉,赵军
明达4期,57.78,2010/11/5,明达资产,刘明达
淡水泉成长六期,57.42,2009/7/29,淡水泉,赵军
挺浩一期,57.14,2010/9/17,挺浩投资,康浩平
明达6期,56.6,2013/1/8,明达资产,刘明达
中国龙价值八,56.34,2008/3/25,涌峰投资,马宏
智诚4期,56.21,2010/6/11,智诚海威,张弩
中域增值1期,56.21,2009/7/22,中域投资,袁鹏涛
国富精选五号,56.14,2010/8/4,国富投资,陈海峰
泰达鼎晟2期(业绩..,56.06,2012/3/21,泰达鼎晟,邓继军
巨柏1号,56.04,2010/4/16,巨柏基金,祝朝安
万永2期,55.98,2013/6/18,万永投资,刘振涛
创赢9号,55.81,2013/6/28,宝银创赢,崔军
泽熙5期,55.62,2010/7/30,泽熙投资,徐翔
同威3期,55.29,2009/7/30,同威资产,李驰
淡水泉成长九期,55.07,2009/11/3,淡水泉,赵军
智诚2期,55.06,2009/6/12,智诚海威,张弩
中国龙价值二,55.05,2007/7/17,涌峰投资,马宏
中国龙价值,55.04,2007/5/31,涌峰投资,马宏
彤源6号,54.94,2013/7/24,彤源投资,詹凌燕
瑞天3期,54.45,2010/12/28,瑞天投资,李鹏
向日葵1号,54.29,2008/4/22,向日葵,陈靖吾
金狮151号,54.24,2012/8/22,--,--
西藏同信同心吉祥中..,54.21,2013/7/26,中睿合银,刘睿
彤源2号,54.09,2009/10/30,彤源投资,任云鹤
恒德中略1期,53.98,2013/11/7,恒德投资,王瑜
投资精英之翼虎A,53.72,2011/9/15,翼虎投资,余定恒
双赢12期(彤源),53.7,2011/6/10,彤源投资,任云鹤
世通嫦娥奔月,53.69,2011/1/26,康庄资产,常士杉
同威一期,53.58,2009/12/18,同威资产,李驰
融新316号玖歌投..,53.14,2010/9/16,玖歌投资,--
翼虎成长3期,53.01,2011/5/5,翼虎投资,余定恒
行知转折1期,52.97,2012/12/28,行知创业,李涛
尚雅12期,52.7,2010/5/28,尚雅投资,石波 常昊
兆金鸿1号,52.51,2013/10/31,兆金资本,--
立华合伙1期,52.37,2008/9/26,立华投资,王政
中行TOT成长组合..,52.25,2011/5/11,景林资产,蒋锦志
创赢1号(创赢8号..,52.21,2013/2/8,宝银创赢,崔军
精熙优胜回报1期,52.17,2011/11/17,精熙投资,夏宁
明华新兴成长,52.12,2011/2/15,明华信德,陈明贤
创赢2号,52.05,2013/1/21,宝银创赢,崔军
方圆奥特1期,52.01,2010/9/7,方圆奥特,杨云
开宝2期,51.74,2010/6/1,开宝资产,叶猷建
金元证券游马地1号,51.62,2013/4/10,金元证券,来庆玉
普邦恒升(华金1期..,51.24,2010/12/31,普邦恒升,陈文涛
懿和1号,51.11,2013/9/3,摩通投资,--
翼虎成长1期,51.11,2008/3/20,翼虎投资,余定恒
国富精选三号,50.88,2010/2/3,国富投资,陈海峰
金狮181号,50.72,2010/1/12,凯石益正资产,陈继武
金蕴16期,50.7,2012/8/13,盈信瑞峰,林劲峰 张峰
创赢7号,50.55,2013/5/10,宝银创赢,崔军
恒德1期,50.5,2010/7/21,恒德投资,王瑜
中国龙价值(九),50.48,2013/4/8,涌峰投资,马宏
鸿逸1号,50.26,2010/12/16,鸿逸投资,张云逸
尚雅9期,50.25,2010/2/11,尚雅投资,石波 常昊
彤源5号,50.12,2013/5/16,彤源投资,詹凌燕
平石尊悦,49.95,2010/1/5,平石资产,尹志平
金贝壳1号,49.71,2010/5/20,金贝壳,黄明新
德谷3期,49.64,2011/8/19,--,--
民森F号,49.59,2009/8/17,民森投资,蔡明
中睿合银12期,49.54,2011/8/26,中睿合银,刘睿
东源嘉盈2期,49.34,2013/6/21,东源嘉盈,杨凡
合赢2期,49.32,2010/6/4,盈峰资本,曾昭雄 张冰
投资精英之云程泰A,49.25,2012/2/28,云程泰,魏上云
双赢5期(民森),49,2009/9/29,民森投资,蔡明
国富精选二号,48.94,2009/12/17,国富投资,陈海峰
双赢8期(尚雅),48.74,2009/9/29,尚雅投资,石波 常昊
宏石1号(2),48.6,2009/2/26,昶钰投资,张磊
尚雅3期,48.51,2007/12/3,尚雅投资,石波 常昊
民森B号,48.4,2007/6/25,民森投资,蔡明
彤源3号,48.21,2012/11/16,彤源投资,詹凌燕
同威2期,48.17,2009/3/2,同威资产,李驰
中国龙价值六,48.12,2007/12/4,涌峰投资,马宏
汇信-惠正1号,48.03,2013/2/5,惠正投资,--
安蕴6期(盈峰成长..,47.73,2013/9/27,盈峰资本,钱晓宇
富锦8号(尚雅),47.49,2010/8/27,尚雅投资,石波 常昊
新价值11号,47.3,2010/7/16,新价值,罗伟广
磐信1期,47.06,2012/3/8,磐信投资,庄涛 张伟
金诚富利1期,47.04,2010/3/31,同亿富利,黄树军
翼虎成长2期,46.94,2010/11/19,翼虎投资,余定恒
同威1期,46.89,2008/8/8,同威资产,李驰
高程量化1号,46.84,2013/12/26,上海高程投资,丁帅
凯丝投资成长一期,46.83,2012/10/31,凯丝投资,--
立华价值3期,46.78,2013/3/29,立华投资,王政
创赢3号,46.74,2012/10/12,宝银创赢,崔军
海川5号,46.58,2013/11/18,海川泽福,王海川
云程泰3期,46.37,2011/7/15,云程泰,魏上云
民森E号,46.22,2009/7/23,民森投资,蔡明
天勤1号,46.05,2013/9/9,横琴天勤资产,--
泰达鼎晟1期,45.82,2011/11/4,泰达鼎晟,邓继军
金海5号,45.59,2013/10/15,六禾投资,夏晓辉
丰煜如意理财一期,45.57,2010/1/11,丰煜投资,刘峰
民森H号,45.52,2009/12/18,民森投资,蔡明
尚雅4期,45.46,2008/2/18,尚雅投资,石波 常昊
睿信成长1期,45.29,2010/1/8,睿信投资,王丹枫 李振宁
新价值5号,45.28,2009/8/31,新价值,罗伟广
朴石2期,45.23,2013/6/20,朴石投资,向朝勇 罗志祥
民森G号,44.99,2009/8/17,民森投资,蔡明
景林稳健,44.95,2006/10/31,景林资产,蒋锦志
中睿吉祥管家10期,44.65,2011/1/21,中睿合银,刘睿
同威增值3期,44.51,2009/9/18,同威资产,李驰
海川2号,44.39,2013/9/18,海川泽福,王海川
中睿合银7期,44.17,2010/12/20,中睿合银,刘睿
融裕瀚信成长10期,44.16,2010/8/18,瀚信资产,蒋国云
至尊6号六禾成长,44.14,2010/3/5,六禾投资,陈信余 夏晓辉 王志强
东方红先锋2号,44.11,2010/2/24,东方红,顾凌云 朱伯胜
中国龙价值五,43.98,2007/11/22,涌峰投资,马宏
新价值成长一期A,43.89,2009/12/15,新价值,罗伟广
冠俊3号(成长策略..,43.89,2011/2/15,冠俊资产,刘俊
和聚鼎宝2期,43.84,2013/8/14,北京和聚投资,于军
创赢6号,43.67,2013/5/21,宝银创赢,崔军
风格汇鑫1号(长安..,43.41,2013/11/20,--,--
奕金安2期,42.99,2010/4/16,奕金安投资,靳奕
融裕9号奕金安3期,42.98,2011/1/27,奕金安投资,靳奕
新价值8号,42.86,2010/3/25,新价值,罗伟广 李东辉
武当9号,42.84,2009/5/8,武当资产,田荣华
榕树文明复兴,42.82,2013/5/13,榕树投资,--
天富3号(瀚信成长..,42.8,2010/4/9,瀚信资产,蒋国云
融新252号第8期,42.56,2013/1/11,国鸣投资,--
睿信,42.49,2007/2/8,睿信投资,李振宁
国泰君安君享弘利,42.49,2013/12/27,国泰君安资产,--
惠正成长,41.96,2013/7/2,惠正投资,江作良
中睿合银9期,41.93,2011/1/10,中睿合银,刘睿
明达,41.9,2005/11/28,明达资产,刘明达
国富投资专户2号,41.86,2011/10/18,国富投资,陈海峰
秋阳1期,41.73,2013/12/6,秋阳投资,邱小兵
尚雅14期,41.6,2010/8/2,尚雅投资,石波 常昊
民森A号,41.59,2007/6/25,民森投资,蔡明
麦星,41.55,2009/2/20,麦星投资,--
景林丰收,41.5,2007/3/30,景林资产,蒋锦志
新价值16号,41.4,2010/6/25,新价值,罗伟广
东海精选5号,41.37,2011/8/19,东海证券,梁游 朱玺 杨欣 陈敏
汇盈9号,41.33,2013/11/25,--,--
呈瑞2期,41.23,2011/4/28,呈瑞投资,沈守传
玉麒麟价值成长,41.23,2012/5/16,兴业证券,张岩松
国轩,41.16,2008/4/28,南方汇金,徐伟
民森K号,41.14,2010/6/4,民森投资,蔡明
银帆8期,40.97,2013/10/21,银帆投资,--
国富投资专户3号,40.88,2011/10/18,国富投资,陈海峰
中睿吉祥管家一期,40.76,2009/5/25,中睿合银,刘睿
明华一期,40.68,2010/4/20,明华信德,陈明贤
长安投资55号,40.67,2011/7/22,世泽投资,雷磊
龙腾,40.65,2008/1/23,龙腾资产,吴险峰
云程泰增值二期,40.59,2008/4/9,云程泰,魏上云
汇信华安2号,40.54,2012/2/8,华安基金,--
东方港湾马拉松,40.34,2007/2/28,东方港湾,但斌
新价值4号,40.32,2009/6/26,新价值,罗伟广 张旭
鼎润1期,40.1,2011/1/12,鼎润投资,陈宇杰
新价值3期,40,2008/2/15,新价值,李东辉 罗伟广 黄云轩
龙腾9期,39.96,2011/3/15,龙腾资产,汪小安
丰岭稳健成长1期,39.89,2013/12/18,丰岭资本,金斌
明河价值一期,39.87,2010/6/25,明河投资,张翎
玖歌投资荣华1期,39.83,2013/7/10,玖歌投资,--
财富(绿宝石),39.77,2011/6/16,格林施通,余军
瀚信成长1期,39.75,2010/2/11,瀚信资产,蒋国云
云程泰增值,39.66,2007/8/1,云程泰,魏上云
合赢2期,39.53,2010/9/27,盈峰资本,张冰
鑫兰瑞,39.5,2008/8/26,中睿合银,刘睿
尚雅6期,39.43,2009/6/10,尚雅投资,石波 常昊
瑞天5期,39.42,2011/1/31,瑞天投资,李鹏
瀚信成长2期,39.37,2010/2/12,瀚信资产,蒋国云
明达7期,39.27,2013/2/28,明达资产,刘明达
睿信2期,39.26,2007/6/15,睿信投资,李振宁
得利宝至尊九号,39.21,2010/12/16,君富投资,王进
归富长乐1号,39.2,2010/8/31,归富投资,张关心
龙腾3期,39.08,2010/11/12,龙腾资产,吴险峰
成长策略1期,39.06,2011/1/31,--,--
亿方博二期,38.9,2011/8/28,亿方博,谢一峰
中睿合银5期,38.69,2010/3/25,中睿合银,刘睿
紫晶石(上信-T-..,38.61,2010/3/24,--,--
中睿合银二期,38.53,2009/7/6,中睿合银,刘睿
投资精英之长青藤A,38.4,2011/1/30,长青藤资产,潘海峰
睿信3期,38.31,2007/6/15,睿信投资,李振宁
中睿合银3期,38.3,2010/1/8,中睿合银,刘睿
增强41号西域03..,38.27,2011/4/12,西域投资,周水江 李方祥
新价值2期,38.22,2008/2/19,新价值,罗伟广
东方港湾1期,38.17,2010/12/31,东方港湾,但斌
睿策1期,38.16,2011/1/27,睿策投资,黄明
和聚4期,38.14,2010/4/14,北京和聚投资,李泽刚
和聚2期,38.08,2010/3/18,北京和聚投资,李泽刚
鑫鹏1期,38.06,2007/12/20,金辉投资,阮杰
东方红先锋1号,38.05,2010/1/7,东方红,李竞 顾凌云 林树财
中睿合银15期,38.03,2011/11/17,中睿合银,刘睿
柘弓1期,38.03,2009/12/7,柘弓投资,陶然峰
金狮156号,37.98,2012/8/16,--,--
鑫兰瑞二期,37.9,2009/6/29,中睿合银,刘睿
龙腾5期,37.85,2010/9/28,龙腾资产,吴险峰
海川1号,37.82,2013/6/27,海川泽福,王海川
和聚8期,37.6,2011/9/23,北京和聚投资,李泽刚
渝信壹号,37.6,2010/5/21,穿石投资,蔡生俭
六禾财富瓯越,37.4,2010/11/29,六禾投资,徐志云 夏晓辉 王志强
融新252号第1期,37.32,2012/3/16,国鸣投资,--
和聚9期,37.3,2011/7/1,北京和聚投资,李泽刚
武当11期,37.27,2009/6/18,武当资产,田荣华
睿策2期,37.23,2012/7/30,睿策投资,黄明
武当13期,37.21,2009/8/13,武当资产,田荣华
信复创值1号,37.21,2013/9/27,信复创值,刘宇晨
融新317号国理价..,37.2,2011/1/26,国理投资,岳政
和聚5期,37.1,2010/5/28,北京和聚投资,李泽刚
武当8号,37.04,2009/4/30,武当资产,田荣华
映雪霜雪1期,36.91,2012/12/3,映雪投资,郑宇
摩通成长1号,36.67,2013/9/26,摩通投资,--
实力旗舰,36.64,2010/6/10,实力资产,陈理
新价值2期,36.62,2010/2/9,新价值,罗伟广 李涛 范波
金中和西鼎,36.61,2007/7/27,金中和投资,曾军
明河成长,36.55,2011/4/25,明河投资,张翎
六禾财富竹溪,36.5,2010/7/5,六禾投资,夏晓辉 王志强 徐志云 
合赢,36.45,2007/10/9,盈峰资本,张冰 钱晓宇
精熙成长红利,36.4,2011/10/21,精熙投资,夏宁
冠俊5号(成长策略..,36.39,2011/5/12,冠俊资产,刘俊
和聚7期,36.39,2011/4/29,北京和聚投资,李泽刚
兴业玉麒麟2号,36.34,2011/6/3,兴业证券,朱烈 杨定光
凯信1号,36.31,2009/7/20,凯石益正资产,陈继武
新价值15期,36.17,2010/9/2,新价值,罗伟广
银信宝,36.09,2008/1/4,恒运盛投资,张安东
武当稳健增长,36.07,2010/11/16,武当资产,田荣华
增强42号,36.04,2011/3/16,西域投资,宋豹 周水江 廖育良
鼎锋6期,35.91,2010/9/20,鼎锋资产,李霖君
和聚1期,35.85,2009/7/14,北京和聚投资,李泽刚
睿信5期,35.84,2010/9/28,睿信投资,李振宁 王丹枫
和聚3期,35.74,2010/4/20,北京和聚投资,李泽刚
中睿合银4期,35.73,2010/3/18,中睿合银,刘睿
六禾光辉岁月1期,35.73,2009/2/6,六禾投资,夏晓辉 王志强 陈信余
新宝鸿成长一期,35.72,2013/4/22,新宝鸿投资,--
武当12期,35.58,2009/6/10,武当资产,田荣华
新价值12号,35.53,2010/5/14,新价值,罗伟广 黄云轩 范波
金石2期,35.51,2013/4/19,金石投资,姚鸿斌
瑞象Alpha,35.48,2009/4/30,瑞象投资,陈军
瀚信成长4期,35.43,2010/4/29,瀚信资产,蒋国云
武当14期,35.4,2009/11/17,武当资产,田荣华
新价值1期,35.39,2010/5/14,新价值,罗伟广 张旭
实力稳进,35.26,2011/3/22,实力资产,陈理
招商汇智之喜马拉雅,35.18,2013/12/30,喜马拉雅,吴刚
尚雅7期,35.11,2009/6/29,尚雅投资,石波 常昊
万丰友方稳健成长3..,35,2009/6/17,万丰友方,陈益和
泓璞2号,34.92,2013/6/6,泓璞资产,费革胜
映雪霜雪2期,34.86,2013/5/29,映雪投资,郑宇
睿信4期,34.83,2007/7/3,睿信投资,李振宁
泰石1期,34.77,2008/5/23,泰石投资,车克
武当5期,34.67,2009/3/10,武当资产,田荣华
武当1期,34.64,2007/11/12,武当资产,田荣华
德丰华1期,34.63,2010/8/18,德丰华投资,戴勇毅
如壹成长,34.59,2013/9/10,上海如壹投,--
中信证券贵宾2号,34.57,2011/1/13,中信证券,胡继光 杨喆 张晓亮
融惠5期(浦来德2..,34.54,2013/6/27,浦来德资产,庞剑锋
智信创富1期,34.51,2011/3/15,智信创富,高锦洪
林园,34.51,2007/2/28,林园投资,林园
得利宝至尊25号,34.45,2011/9/16,武当资产,田荣华
金蕴55期(季胜),34.42,2013/9/22,季胜投资,徐小喆
武当7号,34.36,2009/4/22,武当资产,田荣华
汇富4号(汇利优选..,34.35,2009/7/24,汇利资产,何震 侯逸
投资精英之景林A,34.34,2013/9/30,景林资产,--
尚雅2期,34.14,2007/12/29,尚雅投资,常昊 石波
武当17期,34.12,2010/3/18,武当资产,田荣华
融裕33号六禾财富..,33.91,2010/11/1,六禾投资,王志强 夏晓辉 赵立坚
武当4期,33.89,2008/8/11,武当资产,田荣华
银垒成长1号,33.66,2013/9/27,银垒股权投资,--
武当10期,33.66,2009/5/22,武当资产,田荣华
海洋之星1号,33.65,2007/9/30,东方证券,周博胜
冰剑1号,33.64,2013/3/1,冰剑投资,王哲伟
长青藤2期,33.56,2013/3/12,长青藤资产,潘海峰
双赢6期(涌金),33.47,2009/9/29,外贸信托,--
融新252号,33.37,2012/3/16,国鸣投资,--
博观1期,33.19,2012/12/28,--,--
朴石6期,33.18,2013/9/27,朴石投资,--
明达2期,33.08,2006/10/24,明达资产,刘明达
朴石1期,33.05,2012/9/18,朴石投资,--
悟空同创量化1期,33.04,2012/6/7,悟空投资,鲍际刚
金狮142号,32.99,2011/7/22,--,--
鼎锋12期,32.9,2010/12/21,鼎锋资产,李霖君
悟空东略量化对冲1..,32.75,2013/9/26,悟空投资,鲍际刚
武当3期,32.72,2008/6/6,武当资产,田荣华
西藏隆源对冲1号,32.68,2013/3/12,隆源投资,杨巍
武当6期,32.66,2009/3/27,武当资产,田荣华
大朴进取1期,32.61,2012/6/8,大朴资产,--
中国龙进取,32.61,2004/6/15,涌峰投资,李莉芳
和禄1号,32.47,2009/6/10,理想投资,于水
新价值10期,32.36,2010/3/12,新价值,罗伟广 范波
亿龙中国,32.34,2006/4/18,涌金投资,刘红海
增强31号赢隆2期,32.24,2013/2/1,赢隆资产,周兵
世诚扬子3号,32.21,2010/12/30,世诚投资,陈家琳
中科智1号,32.13,2012/8/3,长金投资,郑晓军
冰剑3号,32.13,2013/9/3,冰剑投资,陶鹤
朱雀合伙专项,32.05,2009/3/30,朱雀投资,李华轮
融惠优选2期-1,32.05,2013/10/25,--,--
新价值19期,31.91,2010/11/30,新价值,刘昌春 罗伟广
雅策1期,31.9,2013/7/4,--,--
中欧瑞博1期,31.89,2008/12/1,中欧瑞博,吴伟志
鹏诚二期,31.75,2011/1/7,鹏诚资产,廖春晖
万丰友方稳健成长2..,31.73,2009/1/16,万丰友方,陈益和
通用汇锦1号,31.59,2010/5/6,通用投资,鲍晓冰
财通财丰1号,31.58,2013/5/20,财通证券,蔡立辉
吾股丰登1号,31.57,2012/1/13,--,--
朱雀3期,31.46,2009/7/29,朱雀投资,李华轮
穿石品质生活,31.44,2011/1/4,穿石投资,蔡生俭
中国龙平衡,31.44,2013/8/15,涌峰投资,陈东
兴业玉麒麟1号,31.42,2011/1/20,兴业证券,李劲松 朱烈 杨定光
金瀛2期,31.4,2011/1/31,金瀛投资,--
混沌价值增长,31.38,2011/5/25,混沌投资,王歆
璟恒一期,31.35,2013/9/16,南京璟恒投资,李志强
中行TOT成长组合..,31.32,2011/5/11,鼎锋资产,张高
平安价值投资一期,31.27,2006/6/12,惠理基金,谢清海
惠理价值一期,31.27,2011/5/16,惠理基金,谢清海
金狮141号,31.25,2011/7/22,--,--
睿信1期,31.24,2011/4/27,睿信投资,王丹枫 吴欣
博纳1期,31.13,2013/10/14,博纳资产,--
宏北01号,31.12,2013/11/8,--,--
聚益3号,31.12,2011/5/30,聚益投资,汤小生
太平洋证券红珊瑚1..,31.1,2013/4/1,太平洋证券,刘刚 耿广棋 赵鑫岱
华鑫鑫财富智享3号,30.94,2013/4/11,华鑫证券,董一丁
恒复趋势1号,30.94,2009/1/20,恒复投资,刘强
沃胜1期,30.91,2010/12/2,沃胜资产,魏延军
云腾1期,30.85,2011/3/9,云腾投资,王庆仁 顾涛
朴石5期,30.71,2013/6/28,朴石投资,向朝勇 罗志祥
泽泉涨停板1号,30.68,2012/5/7,泽泉投资,辛宇
道睿择1期,30.68,2011/11/10,道睿择投资,杨金
惠理价值二期,30.59,2011/8/11,惠理基金,谢清海
世通5期,30.57,2011/4/11,康庄资产,常士杉
新思哲1期,30.57,2010/4/21,新思哲,韩广斌
睿策量化1期,30.57,2013/5/29,--,--
华夏未来领时对冲1..,30.51,2013/10/31,华夏未来,巩怀志 陈兵
瑞象丰年,30.47,2007/12/27,瑞象投资,陈军
朱雀1期,30.45,2007/9/17,朱雀投资,李华轮
万利富达,30.42,2007/3/20,万利富达投资,胡伟涛
中睿合银8期,30.42,2010/12/13,中睿合银,刘睿
朱雀2期,30.38,2007/9/17,朱雀投资,李华轮
赢隆1期,30.38,2009/9/1,赢隆资产,周兵
执耳医药,30.37,2010/9/28,执耳投资,朱爱国
世诚扬子2号,30.35,2008/4/18,世诚投资,陈家琳
星石回报1期,30.2,2011/1/28,星石投资,江晖
朱雀1期,30.11,2008/12/17,朱雀投资,张延鹏
瑞天价值成长,30.04,2008/7/7,瑞天投资,李鹏
聚富二号(泽龙投资..,29.99,2012/9/10,泽龙投资,杨振邦
呈瑞6期,29.89,2011/8/18,呈瑞投资,--
金泉量化成长1期,29.79,2012/2/8,哲灵投资,徐泽林
世通1期,29.52,2008/2/18,康庄资产,常士杉
冰剑2号,29.41,2013/7/1,冰剑投资,周韬
光华上智1期,29.34,2012/3/14,光华上智,陈永生
金狮143号,29.2,2011/7/22,从容投资,吕俊
双赢7期(星石),29.2,2009/9/29,星石投资,江晖
汇信-信诚1号,29.12,2013/11/13,信诚基金,--
合正普惠1号,29.12,2012/5/10,合正普惠,冯宇辉 许彤
喜马拉雅1期,29.1,2009/11/20,喜马拉雅,吴刚
金狮157号,29.09,2012/8/16,--,--
呈瑞1期,29.04,2010/10/25,呈瑞投资,沈守传
凯顺2012,29.01,2012/12/24,咏威凯顺,--
鼎锋16期,28.97,2013/7/1,鼎锋资产,张高
景富趋势成长一期,28.84,2010/12/1,景富投资,祝巍
银帆3期,28.78,2011/7/27,银帆投资,--
光大金控-泰石瑞丰..,28.72,2013/11/7,光大金控,--
招商汇智之凤翔1号,28.7,2013/9/4,凤翔投资,梁进
混沌1号,28.66,2008/10/21,混沌投资,王歆
尚雅1期,28.57,2007/11/21,尚雅投资,石波 常昊
星石19期,28.45,2009/9/28,星石投资,江晖
星石15期,28.45,2009/6/10,星石投资,江晖
聚益5号,28.43,2010/11/3,聚益投资,汤小生
万丰友方避险增值2..,28.42,2009/6/17,万丰友方,陈益和 陈浩青
宝晟1期,28.35,2011/3/7,--,--
太和先机策略精选3..,28.31,2013/7/19,太和先机,谢勇
金石3期,28.24,2013/10/21,金石投资,姚鸿斌
