产品简称,return2013,成立日期,投资顾问,投资经理
得利宝至尊10号,11.63,2010/10/2,远策投资,张益驰
金狮156号,11.61,2012/8/16,--,--
淡水泉卓越1期,11.53,2011/1/6,淡水泉,项志群
量化成长1期,11.5,2011/3/18,瀚鑫泰安,--
兴业玉麒麟2号,11.49,2011/6/3,兴业证券,朱烈 杨定光
东方红先锋2号,11.38,2010/2/24,东方红,顾凌云 朱伯胜
明达2期,11.3,2006/10/24,明达资产,刘明达
上善远行1期,11.28,2011/7/15,上善御富,刘鹰
朱雀14期,11.12,2010/1/5,朱雀投资,李华轮
国信鸿道对冲限额特..,11.1,2012/12/27,鸿道投资,孙建冬
融新317号国理价..,11.08,2011/1/26,国理投资,岳政
摩通一号,11.05,2012/12/25,摩通投资,--
金狮120号,11.05,2011/12/16,--,--
远策9期,11.01,2011/2/1,远策投资,张益驰
新价值成长一期A,10.96,2009/12/15,新价值,罗伟广
泰信矢量,10.93,2011/7/1,泰信基金,邹毅 李剑君
长金4号,10.84,2009/6/23,长金投资,郑晓军
朱雀二期A,10.69,2010/7/13,朱雀投资,李华轮
鼎诺风险缓冲3期,10.6,2012/8/7,鼎诺投资,黄弢
远策8期,10.56,2010/11/22,远策投资,张益驰
中睿合银11期,10.45,2011/8/12,中睿合银,--
朱雀21期,10.39,2012/4/13,朱雀投资,李华轮
浙商金惠2号,10.38,2010/11/15,浙商证券资产,周良 王翊 耿广棋 刘俊
金狮109号,10.37,2011/9/30,--,--
鼎泰岩1期,10.27,2011/11/18,鼎泰岩投资,陈晓东
幸福1期,10.24,2012/6/20,--,--
新价值8号,10.23,2010/3/25,新价值,罗伟广 李东辉
睿信1期,10.19,2011/4/27,睿信投资,吴欣
明达,10.19,2005/11/28,明达资产,刘明达
吉杨1号,10.19,2011/3/24,富灵投资,灵犀
诚盛1期,10.13,2012/8/24,诚盛投资,--
理成转子5号,10.11,2011/4/27,理成资产,田晓军
金狮153号,10.09,2012/8/16,--,--
新价值12号,10.04,2010/5/14,新价值,罗伟广 黄云轩 范波
尚雅7期,10.02,2009/6/29,尚雅投资,石波 常昊
高信百诺1期,10,2010/11/25,高信百诺,孙威
呈瑞价值1期,9.89,2011/12/13,呈瑞投资,梅琳燕 杨类禹
升阳2期,9.83,2010/9/17,升阳资产,--
尚雅9期,9.81,2010/2/11,尚雅投资,石波 常昊
鑫兰瑞,9.77,2008/8/26,中睿合银,刘睿
联合成长1号,9.71,2008/1/3,众禄投资,裴晓岩
升阳3期,9.71,2010/11/24,升阳资产,--
淡水泉目标回报第6..,9.62,2011/11/28,淡水泉,项志群
东兴金选1号,9.6,2011/4/1,东兴证券,卢洋 靳雪翔 汪乐平
上善御富风险缓冲1..,9.52,2011/11/15,上善御富,刘鹰
中行TOT成长组合..,9.49,2011/5/11,景林资产,蒋锦志
新价值19期,9.44,2010/11/30,新价值,刘昌春 罗伟广
伏羲一期,9.42,2012/2/15,伏羲资产,高红兵
银湖领先投资,9.42,2012/2/5,--,--
精英之武当A,9.28,2009/9/17,武当资产,田荣华
武当目标回报第3期,9.18,2011/7/11,武当资产,田荣华
毅扬1期,9.14,2010/11/8,毅扬投资,郭楷泽 梁丰
六禾财富越秀,9.11,2011/4/13,六禾投资,夏晓辉
毅扬2期,9.06,2011/9/30,毅扬投资,李志嘉 梁丰
聚益1号,8.99,2009/9/28,聚益投资,汤小生
明达3期,8.93,2007/4/2,明达资产,刘明达
名禹稳健增长,8.92,2010/9/26,名禹资产,王益聪
金狮143号,8.92,2011/7/22,从容投资,吕俊
新价值10期,8.82,2010/3/12,新价值,范波 罗伟广
兴融1号,8.81,2012/9/24,--,--
润晖稳健增值,8.75,2010/8/20,润晖资产,闵昱
慧安9号,8.71,2011/9/28,慧安投资,沈一慧
挺浩一期,8.69,2010/9/17,挺浩投资,康浩平
聚发(11)混沌1..,8.67,2010/3/16,混沌投资,王歆
能宏1期,8.56,2010/12/22,--,--
鑫兰瑞二期,8.5,2009/6/29,中睿合银,刘睿
银沙策略精选,8.5,2010/2/5,银沙创投,陈军
开宝1期,8.46,2007/11/19,开宝资产,叶猷建
呈瑞2期,8.39,2011/4/28,呈瑞投资,沈守传
星石22期,8.35,2010/11/23,星石投资,江晖
安信尊享成长,8.34,2012/4/19,安信证券,文庆能
星石5期,8.19,2008/4/28,星石投资,江晖
翼虎成长3期,8.19,2011/5/5,翼虎投资,余定恒
星石1期,8.16,2007/7/30,星石投资,江晖
大成基金灵活配置,8.15,2007/12/10,大成基金,杨建华
量化2号,8.04,2012/12/31,东方红,徐习佳 龙川
星石8期,8.01,2009/1/21,星石投资,江晖
星石2期,8.01,2007/7/30,星石投资,江晖
安苏1号,8,2009/4/20,安苏投资,--
星石7期,7.93,2008/8/20,星石投资,江晖
新价值3期,7.84,2008/2/15,新价值,黄云轩 李东辉 罗伟广
星石13期,7.81,2009/5/21,星石投资,江晖
星石3期,7.79,2007/8/27,星石投资,江晖
星石4期,7.77,2008/2/2,星石投资,江晖
融裕瀚信成长10期,7.73,2010/8/18,瀚信资产,蒋国云
星石16期,7.73,2009/7/20,星石投资,江晖
星石10期,7.71,2009/3/12,星石投资,江晖
星石6期,7.71,2008/6/30,星石投资,江晖
光大资产权益类A,7.66,2013/1/4,--,--
星石11期,7.62,2009/3/18,星石投资,江晖
从容成长5期,7.62,2009/10/16,从容投资,--
宝晟,7.56,2011/9/20,--,--
展博2期,7.48,2010/8/4,展博投资,余爱斌 陈锋
慧安7号,7.45,2011/1/26,慧安投资,沈一慧
国信证券1期,7.36,2008/2/5,国信证券,李晓峰
光大同享二号,7.35,2013/1/4,--,--
中睿吉祥管家一期,7.23,2009/5/25,中睿合银,刘睿
中睿合银8期,7.04,2010/12/13,中睿合银,刘睿
德丰华1期,7.02,2010/8/18,德丰华投资,戴勇毅
新价值,6.99,2007/11/15,新价值,陈延泰 张旭 罗伟广
新价值4号,6.98,2009/6/26,新价值,张旭 罗伟广
龙赢一号,6.94,2010/4/21,龙赢富泽,童第轶
中睿合银4期,6.8,2010/3/18,中睿合银,刘睿
中睿合银二期,6.79,2009/7/6,中睿合银,刘睿
隐形冠军一期,6.72,2009/5/8,京富融源,李彦炜
星石18期,6.63,2009/9/16,星石投资,江晖
中信证券贵宾6号,6.6,2011/10/24,中信证券,杨喆 程伟庆 胡继光
美红2号,6.59,2010/12/29,富灵投资,灵犀
中睿合银3期,6.58,2010/1/8,中睿合银,刘睿
万丰友方贯富2期,6.56,2012/9/21,万丰友方,--
思想者一号(2),6.54,2011/9/28,思想者,曾三
中睿合银5期,6.42,2010/3/25,中睿合银,刘睿
星石17期,6.3,2009/12/3,星石投资,江晖
建信稳健增值1期,6.28,2010/11/10,星石投资,江晖
星石15期,6.24,2009/6/10,星石投资,江晖
星石12期,6.21,2009/3/23,星石投资,江晖
星石14期,6.2,2009/5/25,星石投资,江晖
光大集结号收益型一..,6.08,2010/6/12,光大证券资产,谢锋 王杭 伍祁平
长金7号,5.99,2010/8/11,长金投资,郑晓军
金狮110号,5.96,2011/9/30,--,--
鑫安3期,5.84,2012/6/21,易鑫安,--
聚益金典1号,5.81,2011/6/1,聚益投资,汤小生
双赢7期(星石),5.8,2009/9/29,星石投资,江晖
星石19期,5.76,2009/9/28,星石投资,江晖
星石9期,5.7,2009/3/4,星石投资,江晖
东大一号,5.69,2012/12/11,东大资产,--
新价值5号,5.63,2009/8/31,新价值,罗伟广
向日葵1号,5.61,2008/4/22,向日葵,陈靖吾
长江二期A,5.57,2009/12/4,涌金投资,刘红海
图原精选1期,5.37,2009/12/29,图原资产,吴雄伟
星石回报1期,5.31,2011/1/28,星石投资,江晖
得利宝至尊12号,5.26,2010/11/3,星石投资,江晖
得利宝至尊九号,5.25,2010/12/16,君富投资,王进
呈瑞4期,5.24,2011/4/27,呈瑞投资,杨类禹 沈守传
融新慧安11号,5.22,2012/11/9,慧安投资,沈一慧
美红1号,5.19,2010/10/18,富灵投资,灵犀
呈瑞3期,5.18,2011/4/15,呈瑞投资,杨类禹 沈守传
融惠优选1期3号,5.15,2012/7/23,同亿富利,汤勇明
喜马拉雅1期,5.13,2009/11/20,喜马拉雅,吴刚
宝幡2期,5.13,2012/3/30,--,--
慧安3号,5.11,2009/8/20,慧安投资,沈一慧
星石20期,5.04,2010/8/18,星石投资,江晖
宝幡3期,5,2012/3/30,--,--
银帆一期(铂金1号..,4.96,2011/6/30,银帆投资,--
星石21期,4.91,2011/6/20,星石投资,江晖
建信积极成长1期,4.9,2011/4/12,从容投资,吕俊
金诚富利1期,4.85,2010/3/31,同亿富利,黄树军
双赢6期(涌金),4.82,2009/9/29,外贸信托,--
呈瑞6期,4.62,2011/8/18,呈瑞投资,--
鑫安1期,4.53,2011/10/26,易鑫安,栾鑫
精英之星石A,4.51,2009/9/21,星石投资,江晖
鑫安2期,4.41,2012/5/15,易鑫安,栾鑫
龙票1期,4.41,2008/1/29,龙票资产,曾祥文
天马,4.36,2006/9/11,天马资产,康晓阳
银河福星1号,4.34,2010/9/21,银河证券,吴春龙 郑锦斐 沈涛 宫德
中航金航3号,4.34,2011/7/25,中航证券,程敏 王锐 帅再先
武当17期,4.34,2010/3/18,武当资产,田荣华
亿龙中国,4.31,2006/4/18,涌金投资,刘红海
积胜1期,4.25,2009/12/31,积吉胜,张仁才
投资精英之翼虎A,4.24,2011/9/15,翼虎投资,余定恒
添宝1号,4.14,2011/8/2,添宝资产,--
智德精选6期,4.04,2010/12/9,智德投资,伍军
lighthors..,3.96,2006/10/9,天马资产,康晓阳
万丰友方避险增值1..,3.96,2009/6/17,万丰友方,陈浩青 陈益和
执耳医药,3.94,2010/9/28,执耳投资,朱爱国
融金29号风格一期,3.92,2011/4/15,风格汇,孙世涛
和美1期,3.86,2010/10/21,多和美,张益凡
明达4期,3.86,2010/11/5,明达资产,刘明达
上善御富风险缓冲2..,3.85,2012/12/25,上善御富,刘鹰
赢隆1期,3.84,2009/9/1,赢隆资产,周兵
中睿合银15期,3.81,2011/11/17,中睿合银,刘睿
中信证券贵宾3号,3.78,2011/4/15,中信证券,杨喆 程伟庆 胡继光
天马量化1期,3.76,2012/3/22,天马资产,康晓阳
金蕴16期,3.75,2012/8/13,盈信瑞峰,张峰 林劲峰
招商智远稳健4号,3.53,2010/12/24,招商证券,曾琦
国投凯益,3.51,2009/5/12,凯石益正资产,陈继武
铭远4期,3.51,2011/1/17,铭远投资,韩跃峰
渤海证券蓝海系列四..,3.47,2012/9/7,渤海证券,--
鑫增长1号,3.47,2008/1/10,鑫增长,罗文军
铭远3期,3.46,2010/10/22,铭远投资,韩跃峰
光大集结号收益型三..,3.46,2011/6/3,光大证券资产,王杭 谢锋
慧安5号,3.38,2010/6/3,慧安投资,沈一慧
瀚信成长1期,3.33,2010/2/11,瀚信资产,蒋国云
鼎诺风险缓冲5期,3.29,2012/6/15,鼎诺投资,--
玉麒麟价值成长,3.23,2012/5/16,兴业证券,张岩松
长余1号,3.22,2011/12/2,综艺控股,陈磊
东莞旗峰财富1号,3.16,2011/9/6,东莞证券,--
源乐晟11期,3.08,2011/3/16,源乐晟,曾晓洁
融新252号第1期,3.02,2012/3/16,国鸣投资,--
神州铂金1号,3.01,2012/5/7,南京证券,王挺秀 苏晋江 曹建明
顶石成长1号,2.99,2011/1/24,顶石投资,--
中睿合银7期,2.98,2010/12/20,中睿合银,刘睿
银河新星1号,2.98,2012/6/5,银河证券,--
远策11期,2.97,2011/4/21,远策投资,张益驰
聚益3号,2.85,2011/5/30,聚益投资,汤小生
融新87号,2.84,2012/5/11,--,--
中睿合银9期,2.8,2011/1/10,中睿合银,刘睿
瀚信成长4期,2.77,2010/4/29,瀚信资产,蒋国云
国泰君安君享对冲一..,2.73,2012/10/11,国泰君安资产,--
红宝石(上信-H-..,2.64,2011/1/4,--,--
红山1期,2.57,2007/9/6,红山投资,李雅非
源乐晟9期,2.57,2010/11/5,源乐晟,曾晓洁
投资精英之长青藤A,2.55,2011/1/30,长青藤资产,潘海峰
长金11号,2.55,2011/6/15,长金投资,郑晓军
国泰君安君享对冲二..,2.53,2012/10/11,国泰君安资产,--
新思哲1期,2.47,2010/4/21,新思哲,韩广斌
彤源2号,2.42,2009/10/30,彤源投资,任云鹤
精选二期A,2.42,2012/2/29,长金投资,郑晓军
昭时二期,2.42,2011/12/25,昭时投资,李云峰
万丰友方稳健成长1..,2.37,2009/6/17,万丰友方,陈益和
兴业玉麒麟1号,2.31,2011/1/20,兴业证券,杨定光 李劲松 朱烈
光大集结号收益型二..,2.3,2010/10/22,光大证券资产,--
源乐晟4期,2.2,2010/4/29,源乐晟,曾晓洁
慧安1号,2.13,2009/5/19,慧安投资,沈一慧
证大金牛(2期),2.12,2011/6/24,--,--
世通嫦娥奔月,2.11,2011/1/26,康庄资产,常士杉
中国龙价值六,2.08,2007/12/4,涌峰投资,马宏
盈融达8号,2.03,2011/1/28,盈融达,曹湘军
金源1号,2.01,2010/5/5,长安信托,李莹
宝晟2期,1.93,2011/9/28,--,--
申万宝鼎8期,1.93,2012/10/10,申银万国,--
金泉量化成长1期,1.79,2012/2/8,哲灵投资,徐泽林
世富壹玖创新,1.63,2012/8/27,世富投资,--
中睿合银12期,1.59,2011/8/26,中睿合银,刘睿
瀚信成长2期,1.55,2010/2/12,瀚信资产,蒋国云
源乐晟2期,1.55,2010/1/28,源乐晟,曾晓洁
平安证大一期,1.54,2007/2/5,证大投资,朱南松
汇富17号(隐形冠..,1.52,2010/7/28,京富融源,李彦炜
财富(绿宝石),1.48,2011/6/16,格林施通,余军
国泰君安君享成长,1.47,2012/3/26,国泰君安资产,--
金狮98号,1.44,2012/7/6,--,--
证大四期A,1.44,2012/6/13,证大投资,朱南松
冠俊5号(成长策略..,1.41,2011/5/12,冠俊资产,刘俊
中国龙价值八,1.25,2008/3/25,涌峰投资,马宏
中国龙价值七,1.24,2008/3/25,涌峰投资,马宏
慧安2号,1.13,2009/7/17,慧安投资,沈一慧
增强42号,1.08,2011/3/16,西域投资,廖育良 宋豹 周水江
金狮152号,1.08,2012/8/10,--,--
得利宝至尊25号,1.06,2011/9/16,武当资产,田荣华
中国龙价值二,1.04,2007/7/17,涌峰投资,马宏
映雪霜雪1期,0.99,2012/12/3,映雪投资,郑宇
源乐晟10期,0.97,2011/2/22,源乐晟,曾晓洁
聚益风险缓冲1期,0.81,2012/12/18,聚益投资,汤小生
隐形冠军3期,0.79,2010/9/3,京富融源,李彦炜
源乐晟8期,0.78,2010/9/30,源乐晟,曾晓洁
源乐晟5期,0.77,2010/7/30,源乐晟,曾晓洁
君利稳健收益(龙赢..,0.76,2010/8/16,龙赢富泽,童第轶
瑞华彤源卓越2期,0.7,2011/1/12,瑞华投资,张建斌
融新252号第2期,0.65,2012/3/23,国鸣投资,--
源乐晟6期,0.63,2010/7/28,源乐晟,曾晓洁
万丰友方稳健成长3..,0.61,2009/6/17,万丰友方,陈益和
麦星,0.55,2009/2/20,麦星投资,--
中国龙价值,0.53,2007/5/31,涌峰投资,马宏
昭时三期,0.48,2012/2/10,昭时投资,李云峰
金狮157号,0.44,2012/8/16,--,--
金狮88号,0.36,2012/1/10,--,--
麦盛领航1期,0.32,2010/5/10,麦盛资产,--
中信建投策略精选1..,0.3,2012/10/26,中信建投,--
中信证券贵宾8号,0.17,2012/8/2,中信证券,胡继光 杨喆 何玄文
中国龙价值五,0.08,2007/11/22,涌峰投资,马宏
天富3号(瀚信成长..,0.06,2010/4/9,瀚信资产,蒋国云
开宝2期,0.05,2010/6/1,开宝资产,叶猷建
混沌价值增长,0.01,2011/5/25,混沌投资,王歆
稳健流动性管理,-0.11,2011/4/29,--,--
乐晟精选,-0.11,2008/7/8,源乐晟,曾晓洁
德银创鑫1期,-0.15,2011/12/31,德银资产,曾革
宁电1期,-0.21,2010/12/31,宁电投资,葛鹏
瑞达1号,-0.39,2011/12/29,瑞达投资,--
源乐晟7期,-0.43,2010/10/8,源乐晟,曾晓洁
瀚信成长5期,-0.47,2010/3/29,瀚信资产,蒋国云
瀚信成长6期,-0.5,2010/6/9,瀚信资产,蒋国云
中鼎盈丰二期,-0.53,2010/4/23,瀚信资产,蒋国云
先锋1号,-0.55,2007/12/17,钧锋投资,陈湘义 童殿琳
兆信1期,-0.59,2010/5/21,兆信资产,马骏
同瑞汇金1期,-0.64,2011/3/7,同瑞汇金,涂刚
开阳5期,-0.64,2012/10/19,--,--
中国龙精选二,-0.64,2008/8/8,涌峰投资,王庆华
瀚信价值2期,-0.73,2011/4/29,瀚信资产,蒋国云
太阳帆投资,-0.77,2011/11/24,裕鼎理财,江伟
中信证券贵宾5号,-0.8,2011/7/18,中信证券,胡继光 何玄文
创赢3号,-0.81,2012/10/12,宝银创赢,崔军
明渝霄阳2号,-0.84,2011/1/11,明渝霄阳,罗斌
双赢12期(彤源),-0.92,2011/6/10,彤源投资,任云鹤
双赢1期(瀚信),-0.98,2010/8/27,瀚信资产,蒋国云
瀚信经典2期,-1.05,2010/11/24,瀚信资产,陈鹏
中国龙精选,-1.06,2007/6/15,涌峰投资,王庆华
积极策略尊享2号,-1.07,2009/9/29,华夏基金,--
中国龙增长,-1.15,2007/4/30,涌峰投资,王庆华
原君1期,-1.19,2009/10/21,原君投资,--
冠俊2号,-1.23,2011/1/31,冠俊资产,刘俊
成长策略1期,-1.23,2011/1/31,--,--
中信证券贵宾1号,-1.42,2010/9/28,中信证券,胡继光 杨喆 张晓亮
增强41号西域03..,-1.46,2011/4/12,西域投资,周水江 李方祥
瀚信稳健1期,-1.46,2010/7/6,瀚信资产,蒋国云
瑞银财富1号,-1.52,2010/11/11,瑞银证券,赖晶铭
合正普惠1期,-1.52,2012/8/3,合正普惠,冯宇辉 许彤
财富成长2期,-1.54,2010/9/20,财富成长,唐雪来 丁昌 李映东
金蕴11期,-1.56,2012/5/28,喜马拉雅,吴刚
瀚信稳健2期,-1.71,2010/12/16,瀚信资产,蒋国云
麦盛领航3期,-1.75,2010/12/31,麦盛资产,李向鸿
中信证券贵宾7号,-1.77,2012/8/23,中信证券,胡继光 杨喆 程伟庆
国富精选二号,-1.78,2009/12/17,国富投资,陈海峰
建信积极成长2期,-1.86,2011/4/12,尚雅投资,石波 常昊
源乐晟3期(富锦2..,-1.93,2010/5/28,源乐晟,曾晓洁
景富同2期,-1.93,2010/10/26,景富同投资,王卫东
源乐晟3-1期,-2.02,2011/9/29,源乐晟,曾晓洁
景富同1期,-2.1,2010/6/23,景富同投资,王卫东
凯顺2012,-2.15,2012/12/24,咏威凯顺,--
光华上智1期,-2.17,2012/3/14,光华上智,陈永生
富承,-2.25,2011/12/30,信利投资,--
京福1号,-2.25,2008/9/26,京福资产,陈山
中国龙增长二,-2.39,2007/10/19,涌峰投资,王庆华
信璞深蓝,-2.41,2012/5/28,信璞投资,徐晨光
亿方博二期,-2.44,2011/8/28,亿方博,谢一峰
金狮15号(第06..,-2.46,2012/6/15,--,--
行知转折1期,-2.78,2012/12/28,行知创业,李涛
万丰友方稳健成长2..,-2.79,2009/1/16,万丰友方,陈益和
方圆奥特1期,-2.87,2010/9/7,方圆奥特,杨云
新价值9期,-2.97,2010/9/2,新价值,罗伟广
东方港湾马拉松,-3.04,2007/2/28,东方港湾,但斌
慧安10期,-3.06,2011/2/18,慧安投资,沈一慧
至尊19号,-3.08,2011/4/11,国淼投资,马泽
浙商金惠1号,-3.1,2010/7/1,浙商证券资产,周良 王翊 张宁
鹏诚二期,-3.35,2011/1/7,鹏诚资产,廖春晖
龙撰一期,-3.41,2012/5/25,--,--
盈捷九头鸟3期,-3.49,2009/5/13,盈捷投资,--
浙商金惠引航,-3.51,2010/12/27,浙商证券资产,周良 陈旻 芮晨
混沌1号,-3.73,2008/10/21,混沌投资,王歆
融惠优选1期-1号,-3.75,2012/7/23,盈峰资本,张冰
友恒成长1期,-3.8,2010/10/25,友恒投资,周洪兵
京福2号,-3.91,2009/6/1,京福资产,陈山
高恒1期,-4.16,2011/3/7,高恒资产,--
东方港湾1期,-4.18,2010/12/31,东方港湾,但斌
亿信财富一期,-4.24,2011/3/9,涌泉亿信,艾亮
东北证券融通一期,-4.25,2011/5/20,东北证券,郭来生 许文波 赵志海
金中和4期,-4.43,2009/6/3,金中和投资,刘国平
投资精英之信璞A,-4.44,2012/5/9,信璞投资,归江
新价值20期,-4.51,2011/1/12,新价值,罗伟广
聚益5号,-4.56,2010/11/3,聚益投资,汤小生
联合星辰(新),-4.61,2011/4/18,齐鲁证券,--
慧安6号,-4.74,2010/12/7,慧安投资,沈一慧
同威1期,-4.75,2008/8/8,同威资产,李驰
瑞天3期,-4.84,2010/12/28,瑞天投资,李鹏
泰石1期,-4.86,2008/5/23,泰石投资,车克
平石尊悦,-4.86,2010/1/5,平石资产,尹志平
富锦6号(金中和),-4.87,2010/8/30,金中和投资,曾军 何滨
融达稳赢01号,-4.97,2012/5/31,--,--
成长01号,-4.99,2012/3/23,--,--
长金9号,-5.05,2011/1/18,长金投资,郑晓军
建源财富成长,-5.06,2010/1/18,建元天华,赵建光
博源成长1号,-5.07,2010/9/1,博源资产,赵建兴 刘鸿
仙童1期(海南成长..,-5.21,2010/5/5,仙童投资,张晓君
融宏成长一期,-5.24,2012/7/27,融宏投资,--
长金2号,-5.29,2008/12/26,长金投资,郑晓军
稳健增长,-5.45,2007/12/26,尊嘉资产,宋炳山
同威增值1期,-5.47,2009/6/25,同威资产,--
中信证券贵宾2号,-5.62,2011/1/13,中信证券,胡继光 杨喆 张晓亮
金狮144号(凯石..,-5.64,2011/9/20,凯石益正资产,陈继武
巨柏1号,-5.76,2010/4/16,巨柏基金,祝朝安
中行TOT成长组合..,-5.83,2011/5/11,源乐晟,曾晓洁
格雷一期,-6.22,2011/1/10,格雷投资,张可兴
金中和1期,-6.22,2008/11/3,金中和投资,刘国平
富鹏2期(德源安战..,-6.48,2010/3/16,外贸信托,费鹏 车广义 姚少杰
康成亨1期,-6.65,2009/5/22,康成亨,张耀东
林园3期,-6.94,2007/9/20,林园投资,林园
泓湖2期,-7.33,2009/11/24,泓湖投资,梁文涛
广发丰沃01号,-7.53,2012/3/23,--,--
泓湖1期,-7.63,2007/2/16,泓湖投资,梁文涛
创金灵活成长1期,-7.66,2011/7/5,第一创业,苏彦祝 李志锐 刘树祥 曹春林
金贝壳1号,-7.66,2010/5/20,金贝壳,黄明新
量化投资一号,-7.77,2011/3/11,--,--
中风投一号,-7.88,2010/4/23,汇鑫诚通,刘志博
枫岭1期,-7.9,2009/5/19,枫岭投资,程杰
金融战士1号,-7.96,2011/2/21,康成亨,张耀东
融泰1号,-7.99,2011/7/26,华融泰资产,陈亮
景良能量1期,-8.02,2008/3/4,景良投资,廖黎辉
金狮196号,-8.03,2011/5/20,--,--
福麟13号(泓湖3..,-8.06,2010/6/30,泓湖投资,梁文涛
新价值1期,-8.12,2010/5/14,新价值,罗伟广 张旭
国富精选三号,-8.2,2010/2/3,国富投资,陈海峰
仙童2期,-8.24,2012/10/30,仙童投资,张晓君
金狮97号,-8.29,2012/6/14,--,--
金股典,-8.38,2008/3/20,华银精治,--
林园2期,-8.41,2007/9/17,林园投资,林园
中科智1号,-8.43,2012/8/3,长金投资,郑晓军
创赢1号,-8.46,2008/12/18,宝银创赢,崔军
格雷二期,-8.46,2011/5/20,格雷投资,张可兴
德源安1号,-8.47,2009/5/27,德源安,许良胜
千华策略一期A,-8.5,2011/7/5,千华投资,岳爱民
锐集一号,-8.69,2009/5/4,锐集投资,--
证大稳健,-9.06,2008/6/6,证大投资,刘兵
融新354号(广晟..,-9.44,2011/8/15,广晟财富,刘海影
金狮199号,-9.63,2011/5/20,--,--
君丰1期,-9.63,2007/12/20,君丰资本,谢爱龙
中国龙回报1期,-9.74,2011/5/4,涌峰投资,赵凯
万永1期,-9.86,2012/12/24,万永投资,刘振涛
泓湖6期,-9.88,2010/11/9,泓湖投资,梁文涛
乾阳投资1期,-9.94,2011/10/17,乾阳投资,何辉
万丰友方避险增值2..,-10.42,2009/6/17,万丰友方,陈益和 陈浩青
弘酬1号,-10.43,2009/6/8,弘酬投资,--
岁腾1号,-10.6,2009/3/12,凯石益正资产,陈继武 吴振中
天眷精英一号,-10.74,2011/7/28,鹏达双鑫,--
博时2号,-10.8,2011/7/1,博时投资,--
长安投资127号,-10.87,2011/11/7,黑鹰投资,--
金中和5期,-11.23,2009/6/8,金中和投资,--
同威增值3期,-11.29,2009/9/18,同威资产,李驰
永发一期,-11.54,2012/3/29,永发投资,伊发祥
合正普惠1期,-11.67,2011/12/19,合正普惠,冯宇辉 许彤
同威3期,-11.73,2009/7/30,同威资产,李驰
德谷6期,-11.74,2011/8/5,--,--
泓湖5期,-12.07,2010/12/31,泓湖投资,梁文涛
以太,-12.07,2007/7/20,以太投资,--
玖阳一号,-12.18,2011/5/19,玖阳投资,曹素生
国富精选五号,-12.23,2010/8/4,国富投资,陈海峰
奕金安2期,-12.56,2010/4/16,奕金安投资,靳奕
德源安战略成长3号,-13.06,2011/7/6,德源安,许良胜
同威增值2期,-13.19,2009/9/3,同威资产,--
安盈1号,-13.26,2012/1/13,安盈资产,吴为民 黄华强
融裕9号奕金安3期,-13.29,2011/1/27,奕金安投资,靳奕
龙马,-13.66,2007/11/16,柏恩投资,龙小波
猎豹2期,-13.74,2011/1/1,鼎祥赢瑞,张德涛
坤阳乾坤一号,-14.4,2007/8/23,坤阳资产,陈敏
合正普惠1号,-14.71,2012/5/10,合正普惠,冯宇辉 许彤
普邦恒升聚富,-14.86,2008/7/1,普邦恒升,陈文涛
海天一期,-14.88,2010/3/5,新海天,--
实力旗舰,-15.08,2010/6/10,实力资产,陈理
奕金安一期,-15.43,2009/7/27,奕金安投资,靳奕
盈捷九头鸟4期,-15.48,2010/11/19,盈捷投资,李少伟
德源安1期,-15.56,2010/12/20,德源安,许良胜
融新252号第7期,-15.58,2012/12/28,国鸣投资,--
弘酬3期,-15.72,2009/11/10,弘酬投资,王利峰
证大价值,-15.78,2007/10/29,证大投资,姜榕
恒达通汇1期,-16.14,2009/8/26,恒达通汇,沈一民
华展金丰财源广进1..,-16.24,2012/2/22,华展金丰,李丰
金谷1号,-16.32,2011/7/4,湘财证券,--
实力稳进,-16.44,2011/3/22,实力资产,陈理
普邦恒升(华金1期..,-16.89,2010/12/31,普邦恒升,陈文涛
塔晶老虎1期,-16.95,2007/12/11,塔晶投资,冷再清
久铭一期,-17.03,2009/2/24,久铭投资,王华
中国龙资本,-17.14,2003/8/1,涌峰投资,赵凯
金狮102号,-17.4,2011/10/14,--,--
君泽利2号,-17.47,2012/8/2,君泽利资产,陈志坚
柘弓1期,-17.61,2009/12/7,柘弓投资,陶然峰
中国龙稳健,-17.93,2006/12/26,涌峰投资,赵凯
同威2期,-18.91,2009/3/2,同威资产,李驰
融新181号(贝塔..,-19.07,2011/6/7,贝塔投资,汤立新
洲浚1号,-19.3,2010/9/28,洲浚投资,许周军
普邦恒升聚富2期,-19.62,2009/7/21,普邦恒升,陈文涛
德源安风险缓冲1期,-20.75,2012/11/16,德源安,许良胜
齐鲁金泰山2号(展..,-20.99,2010/7/16,齐鲁证券,杜旭东 佘中强 邓亮 刘保民 徐炜哲 郭鹏 韩晓光 黄奕
中国龙稳健四,-21.2,2009/3/18,涌峰投资,赵凯
敦和1期,-21.83,2011/6/27,敦和投资,--
同威一期,-21.95,2009/12/18,同威资产,李驰
国富投资专户3号,-22.34,2011/10/18,国富投资,陈海峰
国富投资专户2号,-22.74,2011/10/18,国富投资,陈海峰
凯丝投资成长一期,-23.21,2012/10/31,凯丝投资,--
林园,-24.39,2007/2/28,林园投资,林园
双盈二号,-24.63,2011/5/9,双盈企业,--
新航线1期,-25.62,2012/10/15,新航线,汤林忠
海天二期,-26.07,2011/1/21,新海天,--
