产品简称,当年收益%,成立日期,投资顾问,投资经理
中国龙价值二,43.6,2007/7/17,涌峰投资,马宏
平安证大一期,43.52,2007/2/5,证大投资,朱南松
中国龙价值三,43.42,2007/9/24,涌峰投资,--
中国龙价值七,42.91,2008/3/25,涌峰投资,马宏
基业长青进取型,42.77,2007/8/24,华宝信托,--
平安证大价值三期,42.34,2007/8/30,证大投资,--
中国龙价值八,42.14,2008/3/25,涌峰投资,马宏
中国龙价值六,41.37,2007/12/4,涌峰投资,马宏
证大增长二期,41.26,2007/6/15,证大投资,--
中国龙进取,40.63,2004/6/15,涌峰投资,李莉芳
国贸盛乾一期,40.27,2008/4/29,国贸盛乾,--
坤阳乾坤一号,40.02,2007/8/23,坤阳资产,陈敏
东方远见一期,39.72,2008/1/29,东方远见,--
联合成长2号,39.69,2008/2/13,众禄投资,裴晓岩
以太,39.5,2007/7/20,以太投资,--
明达3期,38.63,2007/4/2,明达资产,刘明达
宁博1期,38.19,2008/9/12,宁博资产,--
金中和西鼎,37.77,2007/7/27,金中和投资,曾军
中国龙价值五,37.51,2007/11/22,涌峰投资,马宏
励石一号,37.5,2007/12/28,励石投资,肖世明
联合成长1号,37.33,2008/1/3,众禄投资,裴晓岩
时策1期,36.72,2008/1/17,时策投资,--
金域蓝湾1期,36.1,2007/12/3,金域蓝湾,--
金股典,35.95,2008/3/20,华银精治,--
证大稳健,35.44,2008/6/6,证大投资,刘兵
国投华夏精选,35.28,2007/12/24,华夏基金,--
鑫巢盛利,35.02,2008/5/22,鑫巢资本,--
联合成长3号,34.06,2008/7/7,众禄投资,--
大成基金灵活配置,34.01,2007/12/10,大成基金,杨建华
红山1期,33.55,2007/9/6,红山投资,李雅非
金泰瑞丰,32.99,2008/5/8,中金公司,--
瑞智一期,32.92,2007/12/28,平安证券,--
红山2期,31.62,2007/9/7,红山投资,--
07093平安步步..,31.56,2007/9/19,平安证券,--
嘉实股票精选1号,31.18,2008/8/18,嘉实基金,--
中国龙稳健二,30.24,2008/1/29,涌峰投资,--
中国龙资本,29.97,2003/8/1,涌峰投资,赵凯
星石4期,29.94,2008/2/2,星石投资,江晖
星石2期,29.92,2007/7/30,星石投资,江晖
星石6期,29.91,2008/6/30,星石投资,江晖
星石1期,29.81,2007/7/30,星石投资,江晖
