产品简称,当年收益%,成立日期,投资顾问,投资经理
尚雅6期,15.55,2009/6/10,尚雅投资,石波 常昊
朱雀13期,15.39,2009/12/10,朱雀投资,张延鹏
得利宝重阳5期,15.27,2009/12/11,重阳投资,裘国根 陈心
智诚2期,15.19,2009/6/12,智诚海威,张弩
朱雀2期,15.15,2007/9/17,朱雀投资,李华轮
国淼一期,15.08,2009/1/23,国淼投资,马泽
国投凯益,14.65,2009/5/12,凯石益正资产,陈继武
华夏三号,14.47,2008/1/21,富舟投资,--
朱雀5期,14.15,2009/5/15,朱雀投资,梁跃军
泓湖1期,14.09,2007/2/16,泓湖投资,梁文涛
证大稳健,14.05,2008/6/6,证大投资,刘兵
汇富4号(汇利优选..,13.97,2009/7/24,汇利资产,侯逸 何震
智德持续增长,13.85,2008/6/20,智德投资,伍军
锐集一号,13.76,2009/5/4,锐集投资,--
隆圣三号,13.73,2007/11/20,隆圣投资,--
宏石1号,13.63,2009/2/26,宏石资产,李宏斌
宏石1号(2),13.63,2009/2/26,昶钰投资,张磊
立华合伙1期,13.48,2008/9/26,立华投资,王政
万利富达,13.43,2007/3/20,万利富达投资,胡伟涛
鑫兰瑞二期,13.34,2009/6/29,中睿合银,刘睿
华夏四号,13.26,2008/1/23,富舟投资,--
隆圣一号,13.23,2007/11/7,隆圣投资,--
尚诚,13.04,2007/3/28,尚诚资产,肖华
岁腾1号,12.94,2009/3/12,凯石益正资产,吴振中 陈继武
朱雀10期,12.74,2009/11/12,朱雀投资,李华轮
隆圣四号,12.73,2007/11/20,隆圣投资,--
汇利优选2期,12.72,2009/3/20,汇利资产,何震
麦尔斯通一期,12.72,2008/7/17,麦尔斯通,黄伟声
朱雀7期,12.49,2009/5/18,朱雀投资,梁跃军
安苏1号,12.41,2009/4/20,安苏投资,--
麦尔斯通三期,12.37,2009/3/19,麦尔斯通,--
积极策略尊享2号,12.36,2009/9/29,华夏基金,--
金百镕1期,12.2,2009/11/13,金百镕,周枫
嘉实股票精选1号,12.04,2008/8/18,嘉实基金,--
喜马拉雅1期,12.01,2009/11/20,喜马拉雅,吴刚
重阳1期,11.99,2008/9/5,重阳投资,裘国根
新价值4号,11.96,2009/6/26,新价值,张旭 罗伟广
隆圣二号,11.92,2007/11/7,隆圣投资,--
远策1期,11.88,2009/9/29,远策投资,张益驰
重阳2期,11.87,2008/12/12,重阳投资,裘国根
双赢8期(尚雅),11.72,2009/9/29,尚雅投资,常昊 石波
金烁一期通用1号,11.69,2009/12/29,通用投资,--
朱雀4期,11.67,2009/4/15,朱雀投资,梁跃军
泰石1期,11.3,2008/5/23,泰石投资,车克
联合成长1号,11.03,2008/1/3,众禄投资,裴晓岩
励石一号,10.95,2007/12/28,励石投资,肖世明
中国龙进取,10.91,2004/6/15,涌峰投资,李莉芳
平安金牛一期,10.89,2007/1/16,上海金牛投资,--
新价值成长一期A,10.66,2009/12/15,新价值,罗伟广
中国龙价值四,10.65,2007/9/29,涌峰投资,--
泓湖2期,10.6,2009/11/24,泓湖投资,梁文涛
博颐精选,10.57,2008/2/5,博颐投资,徐大成
美联融通1期,10.43,2007/10/30,美联融通,汪立家
洪瑞封闭式基金组合,10.4,2009/12/18,--,陈翔凯
远策3期,10.35,2009/10/20,远策投资,张益驰
灵活配置1号,10.33,2008/11/27,华夏基金,--
中国龙价值六,10.28,2007/12/4,涌峰投资,马宏
投资精英之汇利A,10.21,2009/10/26,汇利资产,何震
投资精英之朱雀A,10.09,2009/10/10,朱雀投资,李华轮
紫晶石(T-020..,10.07,2009/12/11,--,--
中国龙价值三,10.04,2007/9/24,涌峰投资,--
友翔投资一期(原嘉..,9.82,2008/2/18,友翔投资,--
中国龙价值二,9.78,2007/7/17,涌峰投资,马宏
远策2期,9.67,2009/9/29,远策投资,张益驰
思想者一号,9.63,2009/6/30,思想者,--
瑞琴1号,9.59,2008/8/15,瑞琴投资,--
远策4期,9.38,2009/11/3,远策投资,张益驰
中国龙价值五,9.23,2007/11/22,涌峰投资,马宏
塔晶老虎1期,8.88,2007/12/11,塔晶投资,冷再清
杰凯一期,8.87,2008/4/29,杰凯资产,--
博颐精选3期,8.78,2009/7/9,博颐投资,徐大成
明曜精选1期,8.76,2009/6/19,明曜投资,曾昭雄
从容成长3期,8.67,2009/6/12,从容投资,吕俊
麦星,8.62,2009/2/20,麦星投资,--
中国龙价值,8.58,2007/5/31,涌峰投资,马宏
博颐稳健1期,8.55,2009/9/30,博颐投资,徐大成
博颐精选2期,8.43,2008/10/21,博颐投资,徐大成
朱雀11期,8.42,2009/12/8,朱雀投资,李华轮
重阳3期,8.4,2009/9/2,重阳投资,陈心 裘国根
金股优选一号,8.08,2009/9/15,兴业证券,--
高特佳添富,8.05,2008/4/9,高特佳,--
双赢5期(民森),8.02,2009/9/29,民森投资,蔡明
中欧瑞博1期,7.74,2008/12/1,中欧瑞博,吴伟志
灵活配置2号,7.54,2008/11/27,华夏基金,--
长金4号,7.2,2009/6/23,长金投资,郑晓军
银信宝,7.1,2008/1/4,恒运盛投资,张安东
北斗四号,7,2009/12/10,--,--
朱雀14期,6.99,2010/1/5,朱雀投资,李华轮
中国龙价值八,6.99,2008/3/25,涌峰投资,马宏
简适亨通,6.89,2009/10/9,简适投资,--
武当10期,6.66,2009/5/22,武当资产,田荣华
国信证券1期,6.26,2008/2/5,国信证券,李晓峰
武当3期,6.24,2008/6/6,武当资产,田荣华
万丰友方避险增值2..,5.86,2009/6/17,万丰友方,陈浩青 陈益和
金中和1期,5.71,2008/11/3,金中和投资,刘国平
道合,5.69,2007/9/13,道合投资,何宋勇 裴继伟
星石13期,5.62,2009/5/21,星石投资,江晖
星石3期,5.54,2007/8/27,星石投资,江晖
中国机会三期,5.5,2008/1/16,淡水泉,赵军
星石16期,5.5,2009/7/20,星石投资,江晖
星石4期,5.47,2008/2/2,星石投资,江晖
汇阳汇峰,5.44,2008/3/31,汇阳汇峰投资,--
从容成长1期,5.44,2009/4/8,从容投资,吕俊
星石14期,5.41,2009/5/25,星石投资,江晖
星石11期,5.32,2009/3/18,星石投资,江晖
星石15期,5.24,2009/6/10,星石投资,江晖
星石8期,5.21,2009/1/21,星石投资,江晖
星石6期,5.16,2008/6/30,星石投资,江晖
新价值5号,5.13,2009/8/31,新价值,罗伟广
星石17期,5.13,2009/12/3,星石投资,江晖
星石10期,5.1,2009/3/12,星石投资,江晖
星石7期,5.08,2008/8/20,星石投资,江晖
星石5期,5.08,2008/4/28,星石投资,江晖
星石1期,5.03,2007/7/30,星石投资,江晖
淡水泉成长一期,4.93,2007/9/6,淡水泉,赵军
星石2期,4.91,2007/7/30,星石投资,江晖
金中和2期,4.87,2009/3/18,金中和投资,--
双赢7期(星石),4.63,2009/9/29,星石投资,江晖
泰瑞混合配置1号,4.6,2009/12/24,--,刘新勇
道合2期,4.45,2007/11/20,道合投资,--
华夏优选1号,4.4,2009/11/30,东方远见,许勇
万丰友方避险增值1..,4.34,2009/6/17,万丰友方,陈浩青 陈益和
中国机会二期,4.33,2007/2/28,淡水泉,--
星石12期,4.3,2009/3/23,星石投资,江晖
凯信1号,4.28,2009/7/20,凯石益正资产,陈继武
从容成长2期,4.21,2009/6/18,从容投资,吕俊
星石19期,4.16,2009/9/28,星石投资,江晖
鑫利大通4号,4.11,2009/7/27,鑫利大通,--
瑞象丰年,4.1,2007/12/27,瑞象投资,陈军
从容稳健1期,4.09,2009/5/8,从容投资,吕俊
茂源1号,4.08,2009/5/11,茂源资本,孙满
金域蓝湾1期,3.98,2007/12/3,金域蓝湾,--
星石18期,3.9,2009/9/16,星石投资,江晖
中国龙价值七,3.82,2008/3/25,涌峰投资,马宏
星石9期,3.77,2009/3/4,星石投资,江晖
国投飞天2号,3.67,2009/6/24,国投信托,--
金中和3期,3.65,2009/4/14,金中和投资,--
京福1号,3.52,2008/9/26,京福资产,陈山
盈捷九头鸟2期,3.47,2009/3/18,盈捷投资,李少伟
淡水泉成长四期,3.45,2009/6/8,淡水泉,赵军
淡水泉成长三期,3.43,2009/5/27,淡水泉,赵军
国富精选二号,3.38,2009/12/17,国富投资,陈海峰
精英之星石A,3.27,2009/9/21,星石投资,江晖
双赢6期(涌金),3.02,2009/9/29,外贸信托,--
弘酬1号,3.02,2009/6/8,弘酬投资,--
赢隆1期,3.02,2009/9/1,赢隆资产,周兵
长江二期A,2.96,2009/12/4,涌金投资,刘红海
封基增强回报1号,2.92,2009/11/9,--,吕一凡
金股典,2.86,2008/3/20,华银精治,--
长金2号,2.82,2008/12/26,长金投资,郑晓军
平安价值投资一期,2.79,2006/6/12,惠理基金,谢清海
淡水泉2008,2.78,2008/2/5,淡水泉,赵军
中国机会一期,2.75,2006/10/17,淡水泉,--
中域增值1期,2.49,2009/7/22,中域投资,袁鹏涛
向日葵1号,2.43,2008/4/22,向日葵,陈靖吾
国投瑞僖稳健增强,2.41,2008/12/24,瑞银证券,--
从容优势二期,2.32,2008/4/18,从容投资,吕俊
汉华1期,2.17,2008/8/28,汉华资产,--
汉华,2.17,2007/9/7,汉华资产,--
览众1期,2.13,2009/11/28,鑫元览众,王帅
浦江之星8号(二期..,2.1,2009/2/16,德汇投资,--
中诚主题精选,1.99,2009/5/20,凯石益正资产,--
淡水泉成长六期,1.92,2009/7/29,淡水泉,赵军
淡水泉成长五期,1.78,2009/8/5,淡水泉,赵军
民森A号,1.72,2007/6/25,民森投资,蔡明
精英之淡水泉A,1.67,2009/9/21,淡水泉,赵军
京福2号,1.61,2009/6/1,京福资产,陈山
从容稳健2期,1.61,2009/3/18,从容投资,吕俊
亿龙中国,1.52,2006/4/18,涌金投资,刘红海
鑫巢盛利,1.46,2008/5/22,鑫巢资本,--
天马,1.42,2006/9/11,天马资产,康晓阳
君丰1期,1.4,2007/12/20,君丰资本,谢爱龙
平安证大价值三期,1.31,2007/8/30,证大投资,--
海昊1号,1.27,2008/6/17,海昊投资,曾文海
民森H号,1.01,2009/12/18,民森投资,蔡明
武当13期,0.96,2009/8/13,武当资产,田荣华
中欧瑞博一期,0.93,2008/1/25,中欧瑞博,吴伟志
民森B号,0.83,2007/6/25,民森投资,蔡明
金中和4期,0.78,2009/6/3,金中和投资,刘国平
淡水泉成长九期,0.77,2009/11/3,淡水泉,赵军
盈捷九头鸟1期,0.74,2009/3/23,盈捷投资,李少伟
淡水泉成长七期,0.52,2009/7/31,淡水泉,赵军
国投瑞僖稳健收益,0.48,2009/3/20,国投信托,张志辉
从容稳健3期,0.44,2009/3/25,从容投资,吕俊
和禄1号,0.29,2009/6/10,理想投资,于水
武当4期,0.29,2008/8/11,武当资产,田荣华
武当1期,0.25,2007/11/12,武当资产,田荣华
金中和西鼎,0.16,2007/7/27,金中和投资,曾军
武当5期,0.16,2009/3/10,武当资产,田荣华
恒达通汇1期,0.14,2009/8/26,恒达通汇,沈一民
民森F号,0.13,2009/8/17,民森投资,蔡明
武当6期,0.1,2009/3/27,武当资产,田荣华
世诚扬子2号,0.09,2008/4/18,世诚投资,陈家琳
富临门1号,-0.15,2009/6/30,富派投资,--
武当14期,-0.21,2009/11/17,武当资产,田荣华
奕金安一期,-0.23,2009/7/27,奕金安投资,靳奕
金中和1期,-0.32,2009/4/29,金中和投资,--
武当11期,-0.41,2009/6/18,武当资产,田荣华
从容优势三期,-0.61,2008/7/18,从容投资,吕俊
弘酬3期,-0.65,2009/11/10,弘酬投资,王利峰
稳健增长,-0.7,2007/12/26,尊嘉资产,宋炳山
武当7号,-0.71,2009/4/22,武当资产,田荣华
枫岭1期,-0.76,2009/5/19,枫岭投资,程杰
民森G号,-0.9,2009/8/17,民森投资,蔡明
国轩,-0.91,2008/4/28,南方汇金,徐伟
从容优势一期,-1.03,2008/4/8,从容投资,吕俊
民森E号,-1.06,2009/7/23,民森投资,蔡明
宏利2期,-1.09,2008/6/2,龙赢富泽,童第轶
国贸盛乾一期,-1.12,2008/4/29,国贸盛乾,--
红山1期,-1.15,2007/9/6,红山投资,李雅非
武当2期,-1.24,2007/12/19,武当资产,--
金中和5期,-1.25,2009/6/8,金中和投资,--
鑫鹏1期,-1.34,2007/12/20,金辉投资,阮杰
麦尔斯通二期,-1.52,2009/4/29,麦尔斯通,黄伟声
武当12期,-1.64,2009/6/10,武当资产,田荣华
武当二期,-1.65,2009/9/30,武当资产,--
平安证大一期,-1.74,2007/2/5,证大投资,朱南松
智博方略快乐人生1..,-1.85,2008/3/21,智博方略,白洁
精英之武当A,-1.88,2009/9/17,武当资产,田荣华
武当8号,-2.06,2009/4/30,武当资产,田荣华
睿信4期,-2.12,2007/7/3,睿信投资,李振宁
平石尊悦,-2.31,2010/1/5,平石资产,尹志平
从容成长5期,-2.38,2009/10/16,从容投资,--
银叶1号,-2.4,2009/4/30,银叶投资,--
东方远见一期,-2.58,2008/1/29,东方远见,--
睿信2期,-2.77,2007/6/15,睿信投资,李振宁
弘酬2期,-2.8,2009/12/22,弘酬投资,--
睿信3期,-2.8,2007/6/15,睿信投资,李振宁
蓝宝石(智尔)(上..,-3,2009/12/9,智尔投资,--
鹏远核心一期,-3.04,2008/2/21,鹏远咨询,--
坤阳乾坤一号,-3.27,2007/8/23,坤阳资产,陈敏
证大增长二期,-3.35,2007/6/15,证大投资,--
龙鼎1号,-3.55,2008/7/22,龙鼎投资,--
双赢9期(从容),-3.75,2009/9/29,外贸信托,--
武当9号,-3.75,2009/5/8,武当资产,田荣华
红山2期,-3.78,2007/9/7,红山投资,--
金中和6期,-4.17,2009/8/20,金中和投资,王阳 曾军
普邦恒升聚富,-4.56,2008/7/1,普邦恒升,陈文涛
平安德丰,-4.74,2007/2/8,盛海投资,--
lighthors..,-5.09,2006/10/9,天马资产,康晓阳
长润一期,-5.15,2009/2/16,长润资产,王巍
鸿元1号,-5.22,2009/12/30,鸿元控股,--
柘弓1期,-5.35,2009/12/7,柘弓投资,陶然峰
龙鼎2号,-5.7,2009/9/8,龙鼎投资,--
证券套利,-5.74,2008/1/28,国泰君安,--
万丰友方稳健成长3..,-6.19,2009/6/17,万丰友方,陈益和
富嘉(1期),-6.19,2009/6/5,外贸信托,--
新东风成长证券,-6.35,2008/9/12,沃园投资,--
中国优质1号,-6.53,2008/1/8,鹏远咨询,--
中国龙稳健二,-6.55,2008/1/29,涌峰投资,--
积胜1期,-6.62,2009/12/31,积吉胜,张仁才
中国龙资本,-6.64,2003/8/1,涌峰投资,赵凯
中国龙稳健三,-6.71,2008/2/5,涌峰投资,--
国弘2期,-6.74,2009/9/28,国弘资产,--
瑞象Alpha,-6.98,2009/4/30,瑞象投资,陈军
龙票1期,-7.08,2008/1/29,龙票资产,曾祥文
万丰友方稳健成长2..,-7.13,2009/1/16,万丰友方,陈益和
君富持续增长一期,-7.16,2008/7/3,君富投资,--
鑫利大通2号,-7.23,2009/7/13,鑫利大通,--
中国龙稳健,-7.31,2006/12/26,涌峰投资,赵凯
金牛一号,-7.47,2009/9/28,--,--
中国龙二,-7.48,2008/5/14,涌峰投资,--
国弘1期,-7.51,2009/5/18,国弘资产,--
精英之从容A,-7.65,2009/9/17,从容投资,吕俊
创赢1号,-7.79,2008/12/18,宝银创赢,崔军
混沌1号,-7.83,2008/10/21,混沌投资,王歆
万丰友方稳健成长1..,-7.87,2009/6/17,万丰友方,陈益和
平安启明星,-7.88,2007/6/15,柘弓投资,--
睿信,-8.19,2007/2/8,睿信投资,李振宁
普邦恒升聚富2期,-8.34,2009/7/21,普邦恒升,陈文涛
证研1期,-8.35,2009/7/3,证研投资,宋晓辉
同威一期,-8.37,2009/12/18,同威资产,李驰
长润二期,-9.82,2009/6/30,长润资产,--
新同方,-9.84,2007/7/12,新同方,王连恒 刘迅
国弘精选1期,-9.97,2009/7/9,国弘资产,--
中国龙稳健四,-10.35,2009/3/18,涌峰投资,赵凯
原君1期,-10.64,2009/10/21,原君投资,--
富鹏(1期),-10.67,2009/8/17,外贸信托,--
同威2期,-10.83,2009/3/2,同威资产,李驰
宁博1期,-11.2,2008/9/12,宁博资产,--
小海豚,-11.35,2008/9/8,小海豚,徐栋
久铭一期,-11.54,2009/2/24,久铭投资,王华
新同方2期,-11.61,2008/3/28,新同方,--
大成灵活配置2期,-11.71,2008/2/5,大成基金,杨建华
先锋1号,-12.5,2007/12/17,钧锋投资,童殿琳 陈湘义
招行灵活配置1号(..,-12.7,2009/12/31,--,--
合志同方一号,-13.03,2008/1/29,新同方,刘迅
上元1期,-13.04,2009/12/30,上元投资,--
时策1期,-13.12,2008/1/17,时策投资,--
晓牛新动力,-13.29,2008/9/25,晓牛资产,--
合德丰泰,-14.04,2008/3/15,合德丰泰,王宇
以太,-14.19,2007/7/20,以太投资,--
融兴进取,-14.41,2009/5/13,胜乾投资,--
07093平安步步..,-15.14,2007/9/19,平安证券,--
博鸿智富一号,-16.31,2008/9/10,博鸿投资,姚卫东
广金成长,-16.31,2007/12/25,广金投资,刘壮华 梁月广
龙马,-16.95,2007/11/16,柏恩投资,龙小波
图原精选1期,-17.04,2009/12/29,图原资产,吴雄伟
开宝1期,-18.2,2007/11/19,开宝资产,叶猷建
同威增值2期,-18.63,2009/9/3,同威资产,--
同威1期,-19.26,2008/8/8,同威资产,李驰
同威增值3期,-19.55,2009/9/18,同威资产,李驰
同威增值1期,-19.91,2009/6/25,同威资产,--
晓牛一号,-20.3,2008/1/3,晓牛资产,--
同威3期,-20.48,2009/7/30,同威资产,李驰
盈捷九头鸟3期,-21.09,2009/5/13,盈捷投资,--
恒复趋势1号,-22.7,2009/1/20,恒复投资,刘强
未尔弗一期,-23.32,2008/4/16,未尔弗,--
景良能量1期,-23.38,2008/3/4,景良投资,廖黎辉
好望角3期,-33.83,2009/12/25,好望角,--
深蓝1号,-36.01,2009/11/13,好望角,--
