产品简称,当年收益%,成立日期,投资顾问,投资经理
世通1期,96.16,2008/2/18,康庄资产,常士杉
聚益1号,47.8,2009/9/28,聚益投资,汤小生
华宝1号,47.8,2009/9/28,聚益投资,--
理成风景2号,44.71,2009/9/15,理成资产,杨玉山
尚雅5期,44.38,2009/4/23,尚雅投资,石波 常昊
德源安1号,42.92,2009/5/27,德源安,许良胜
瑞天价值成长,39.95,2008/7/7,瑞天投资,李鹏
和聚1期,39.51,2009/7/14,北京和聚投资,李泽刚
混沌2号,38.82,2009/6/22,混沌投资,王歆
展博1期,38.77,2009/6/15,展博投资,陈锋
铭远巴克莱,37.37,2008/8/21,铭远投资,韩跃峰
彤源2号,35.73,2009/10/30,彤源投资,任云鹤
尚雅7期,35.07,2009/6/29,尚雅投资,石波 常昊
三能1号,34.23,2009/6/15,众禄投资,--
联合成长2号,34.11,2008/2/13,众禄投资,裴晓岩
鼎辉1号,33.74,2008/11/28,鼎陶朱辉,段焰伟
精熙,33.17,2009/2/27,精熙投资,夏宁
云程泰增值,33.1,2007/8/1,云程泰,魏上云
翼虎成长1期,31.83,2008/3/20,翼虎投资,余定恒
慧安3号,31.3,2009/8/20,慧安投资,沈一慧
海洋之星2号,30.78,2007/11/21,理成资产,--
太极一号,30.52,2009/3/2,天隼投资,毛仁杰
理成转子2号,30.36,2009/7/15,理成资产,程义全
慧安1号,29.05,2009/5/19,慧安投资,沈一慧
林园3期,28.56,2007/9/20,林园投资,林园
明达3期,28.31,2007/4/2,明达资产,刘明达
景林丰收,26.57,2007/3/30,景林资产,蒋锦志
六禾光辉岁月1期,26.26,2009/2/6,六禾投资,夏晓辉 王志强 陈信余
云程泰增值二期,25.99,2008/4/9,云程泰,魏上云
合赢,25.92,2007/10/9,盈峰资本,钱晓宇 张冰
尚雅1期,25.56,2007/11/21,尚雅投资,石波 常昊
康成亨1期,25.44,2009/5/22,康成亨,张耀东
中国龙精选,24.36,2007/6/15,涌峰投资,王庆华
慧安2号,24.26,2009/7/17,慧安投资,沈一慧
鼎锋成长一期,24.11,2008/11/4,鼎锋资产,张高
中国龙增长,23.7,2007/4/30,涌峰投资,王庆华
中国龙增长六,23.67,2007/11/8,涌峰投资,--
乐晟精选,23.61,2008/7/8,源乐晟,曾晓洁
华夏二号,23.56,2007/12/26,富舟投资,--
中国龙增长二,23.5,2007/10/19,涌峰投资,王庆华
中国龙增长五,23.43,2007/11/20,涌峰投资,--
海洋之星1号,23.32,2007/9/30,东方证券,周博胜
林园,23.28,2007/2/28,林园投资,林园
林园2期,23.03,2007/9/17,林园投资,林园
中国龙精选二,22.81,2008/8/8,涌峰投资,王庆华
隐形冠军一期,22.81,2009/5/8,京富融源,李彦炜
飞天1号,22.79,2009/6/24,国投信托,--
鑫兰瑞,22.74,2008/8/26,中睿合银,刘睿
景林稳健,22.08,2006/10/31,景林资产,蒋锦志
明达2期,21.98,2006/10/24,明达资产,刘明达
朱雀1期,21.54,2008/12/17,朱雀投资,张延鹏
中睿吉祥管家一期,21.31,2009/5/25,中睿合银,刘睿
景泰复利回报一期,20.86,2007/9/7,景泰利丰,张英飚
招商瑞泰灵活配置3..,20.8,2009/10/27,--,--
理成风景1号,20.73,2008/9/10,理成资产,程义全
赑元成长1期,20.66,2008/12/10,赑元资产,宣震
证大价值,20.52,2007/10/29,证大投资,姜榕
六禾财富银盏一期,20.03,2008/3/26,六禾投资,--
明达,20.01,2005/11/28,明达资产,刘明达
朱雀12期,19.87,2009/11/23,朱雀投资,王欢
招商瑞泰灵活配置5..,19.74,2009/11/12,--,--
联合成长3号,19.56,2008/7/7,众禄投资,--
招商瑞泰灵活配置2..,19.38,2009/10/27,--,--
大成基金灵活配置,19.3,2007/12/10,大成基金,杨建华
中睿合银二期,19.26,2009/7/6,中睿合银,刘睿
菁英时代成长1号,19.25,2009/4/20,菁英时代,陈宏超
新价值3期,19.17,2008/2/15,新价值,罗伟广 黄云轩 李东辉
智德精选,19.01,2009/4/28,智德投资,伍军
景泰复利回报二期,18.59,2008/1/8,景泰利丰,张英飚
塔晶狮王,18.29,2007/9/3,塔晶投资,冷再清
新价值2期,17.76,2008/2/19,新价值,罗伟广
鑫增长1号,17.66,2008/1/10,鑫增长,罗文军
朱雀1期,17.57,2007/9/17,朱雀投资,李华轮
塔晶狮王二号,17.57,2007/10/8,塔晶投资,冷再清
龙腾,17.49,2008/1/23,龙腾资产,吴险峰
尚雅3期,17.36,2007/12/3,尚雅投资,石波 常昊
鼎诺秋实1期,17.27,2009/12/7,鼎诺投资,黄弢
尚雅2期,17.19,2007/12/29,尚雅投资,石波 常昊
新价值,17.17,2007/11/15,新价值,罗伟广 陈延泰 张旭
晋龙1号,16.99,2007/8/28,东方证券,杨达治
丰瑞世纪1期,16.79,2009/12/18,丰瑞世纪,--
朱雀3期,16.76,2009/7/29,朱雀投资,李华轮
招商瑞泰灵活配置1..,16.64,2009/9/4,--,--
东方港湾马拉松,16.56,2007/2/28,东方港湾,但斌
智诚3期,16.56,2009/9/21,智诚海威,张弩
永圣慧远,16.43,2009/12/11,永圣慧远,--
尚雅4期,16.32,2008/2/18,尚雅投资,石波 常昊
汇利优选,16.21,2008/7/18,汇利资产,何震
朱雀合伙专项,16.1,2009/3/30,朱雀投资,李华轮
灵活配置1号,16.07,2008/12/2,华夏基金,--
朱雀8期,15.94,2009/6/1,朱雀投资,陈秋冬
灵活配置2号,15.85,2009/4/21,诺亚远征,--
